PLSCT00000016654	PANTHER:PTHR10067,PANTHER:PTHR10067:SF2
PLSCT00000008426	PANTHER:PTHR12081,PANTHER:PTHR12081:SF7
PLSCT00000011372	PANTHER:PTHR10046,PANTHER:PTHR10046:SF24
PLSCT00000021082	PANTHER:PTHR23073,PANTHER:PTHR23073:SF32
PLSCT00000017551	PANTHER:PTHR31513,PANTHER:PTHR31513:SF1
PLSCT00000006337	PANTHER:PTHR11455,PANTHER:PTHR11455:SF9
PLSCT00000006142	PANTHER:PTHR37243
PLSCT00000016230	PANTHER:PTHR30540,PANTHER:PTHR30540:SF11
PLSCT00000018363	PANTHER:PTHR14269,PANTHER:PTHR14269:SF20
PLSCT00000000492	PANTHER:PTHR21680,PANTHER:PTHR21680:SF0
PLSCT00000016217	PANTHER:PTHR31081,PANTHER:PTHR31081:SF2
PLSCT00000019464	PANTHER:PTHR22931,PANTHER:PTHR22931:SF1
PLSCT00000015862	PANTHER:PTHR12729,PANTHER:PTHR12729:SF6
PLSCT00000015104	PANTHER:PTHR19317,PANTHER:PTHR19317:SF1
PLSCT00000013812	PANTHER:PTHR16719
PLSCT00000012485	PANTHER:PTHR31321,PANTHER:PTHR31321:SF8
PLSCT00000004416	PANTHER:PTHR11922,PANTHER:PTHR11922:SF37
PLSCT00000011963	PANTHER:PTHR16092
PLSCT00000006275	PANTHER:PTHR23409,PANTHER:PTHR23409:SF24
PLSCT00000013155	PANTHER:PTHR16223,PANTHER:PTHR16223:SF51
PLSCT00000018438	PANTHER:PTHR34212,PANTHER:PTHR34212:SF1
PLSCT00000002422	PANTHER:PTHR31917,PANTHER:PTHR31917:SF7
PLSCT00000017204	PANTHER:PTHR12072,PANTHER:PTHR12072:SF5
PLSCT00000014585	PANTHER:PTHR31633
PLSCT00000001341	PANTHER:PTHR21497,PANTHER:PTHR21497:SF24
PLSCT00000000816	PANTHER:PTHR15588
PLSCT00000013153	PANTHER:PTHR11952,PANTHER:PTHR11952:SF8
PLSCT00000019430	PANTHER:PTHR31773,PANTHER:PTHR31773:SF11
PLSCT00000011385	PANTHER:PTHR31221
PLSCT00000021473	PANTHER:PTHR11210
PLSCT00000014827	PANTHER:PTHR31867,PANTHER:PTHR31867:SF30
PLSCT00000011969	PANTHER:PTHR22807,PANTHER:PTHR22807:SF30
PLSCT00000005913	PANTHER:PTHR12176,PANTHER:PTHR12176:SF18
PLSCT00000004093	PANTHER:PTHR10072,PANTHER:PTHR10072:SF46
PLSCT00000019983	PANTHER:PTHR18966,PANTHER:PTHR18966:SF241
PLSCT00000017660	PANTHER:PTHR12999,PANTHER:PTHR12999:SF16
PLSCT00000012281	PANTHER:PTHR24322,PANTHER:PTHR24322:SF411
PLSCT00000001225	PANTHER:PTHR10825,PANTHER:PTHR10825:SF3
PLSCT00000019247	PANTHER:PTHR23389,PANTHER:PTHR23389:SF9
PLSCT00000020746	PANTHER:PTHR22950,PANTHER:PTHR22950:SF235
PLSCT00000017102	PANTHER:PTHR11208,PANTHER:PTHR11208:SF45
PLSCT00000002405	PANTHER:PTHR22763,PANTHER:PTHR22763:SF34
PLSCT00000004054	PANTHER:PTHR12832,PANTHER:PTHR12832:SF11
PLSCT00000010439	PANTHER:PTHR10108,PANTHER:PTHR10108:SF753
PLSCT00000003360	PANTHER:PTHR13246,PANTHER:PTHR13246:SF1
PLSCT00000011713	PANTHER:PTHR13247,PANTHER:PTHR13247:SF0
PLSCT00000015869	PANTHER:PTHR11926,PANTHER:PTHR11926:SF279
PLSCT00000003177	PANTHER:PTHR11880,PANTHER:PTHR11880:SF10
PLSCT00000007784	PANTHER:PTHR10335
PLSCT00000004655	PANTHER:PTHR24093,PANTHER:PTHR24093:SF358
PLSCT00000007519	PANTHER:PTHR11630,PANTHER:PTHR11630:SF43
PLSCT00000002177	PANTHER:PTHR24093,PANTHER:PTHR24093:SF272
PLSCT00000017902	PANTHER:PTHR30573,PANTHER:PTHR30573:SF3
PLSCT00000010959	PANTHER:PTHR10545
PLSCT00000014900	PANTHER:PTHR12726,PANTHER:PTHR12726:SF0
PLSCT00000007925	PANTHER:PTHR15954,PANTHER:PTHR15954:SF4
PLSCT00000013627	PANTHER:PTHR27001,PANTHER:PTHR27001:SF164
PLSCT00000020128	PANTHER:PTHR24353
PLSCT00000008313	PANTHER:PTHR23053,PANTHER:PTHR23053:SF16
PLSCT00000018894	PANTHER:PTHR31563,PANTHER:PTHR31563:SF1
PLSCT00000008765	PANTHER:PTHR11669,PANTHER:PTHR11669:SF0
PLSCT00000001051	PANTHER:PTHR23092,PANTHER:PTHR23092:SF1
PLSCT00000020614	PANTHER:PTHR10722
PLSCT00000003028	PANTHER:PTHR22652,PANTHER:PTHR22652:SF0
PLSCT00000007318	PANTHER:PTHR31307,PANTHER:PTHR31307:SF4
PLSCT00000016768	PANTHER:PTHR31755,PANTHER:PTHR31755:SF1
PLSCT00000005711	PANTHER:PTHR22967,PANTHER:PTHR22967:SF60
PLSCT00000004857	PANTHER:PTHR24089,PANTHER:PTHR24089:SF368
PLSCT00000013225	PANTHER:PTHR33921
PLSCT00000010201	PANTHER:PTHR10183,PANTHER:PTHR10183:SF299
PLSCT00000005236	PANTHER:PTHR12677,PANTHER:PTHR12677:SF5
PLSCT00000018268	PANTHER:PTHR13391
PLSCT00000017432	PANTHER:PTHR21422,PANTHER:PTHR21422:SF3
PLSCT00000004196	PANTHER:PTHR22854,PANTHER:PTHR22854:SF6
PLSCT00000019532	PANTHER:PTHR10992,PANTHER:PTHR10992:SF891
PLSCT00000019913	PANTHER:PTHR11702,PANTHER:PTHR11702:SF3
PLSCT00000004026	PANTHER:PTHR23249,PANTHER:PTHR23249:SF15
PLSCT00000019912	PANTHER:PTHR11071
PLSCT00000008070	PANTHER:PTHR11851,PANTHER:PTHR11851:SF68
PLSCT00000005292	PANTHER:PTHR33785,PANTHER:PTHR33785:SF3
PLSCT00000018929	PANTHER:PTHR31385,PANTHER:PTHR31385:SF1
PLSCT00000019494	PANTHER:PTHR14154,PANTHER:PTHR14154:SF14
PLSCT00000013911	PANTHER:PTHR10209,PANTHER:PTHR10209:SF226
PLSCT00000004676	PANTHER:PTHR37383,PANTHER:PTHR37383:SF1
PLSCT00000008567	PANTHER:PTHR15197,PANTHER:PTHR15197:SF1
PLSCT00000011748	PANTHER:PTHR33905,PANTHER:PTHR33905:SF1
PLSCT00000009277	PANTHER:PTHR24096,PANTHER:PTHR24096:SF213
PLSCT00000006398	PANTHER:PTHR10394
PLSCT00000002445	PANTHER:PTHR10338,PANTHER:PTHR10338:SF114
PLSCT00000007198	PANTHER:PTHR31730,PANTHER:PTHR31730:SF2
PLSCT00000020910	PANTHER:PTHR37185,PANTHER:PTHR37185:SF1
PLSCT00000008494	PANTHER:PTHR34212,PANTHER:PTHR34212:SF1
PLSCT00000017842	PANTHER:PTHR18937,PANTHER:PTHR18937:SF229
PLSCT00000006515	PANTHER:PTHR12241,PANTHER:PTHR12241:SF39
PLSCT00000013822	PANTHER:PTHR24349,PANTHER:PTHR24349:SF88
PLSCT00000002563	PANTHER:PTHR11203,PANTHER:PTHR11203:SF5
PLSCT00000011093	PANTHER:PTHR21207,PANTHER:PTHR21207:SF2
PLSCT00000008688	PANTHER:PTHR10044,PANTHER:PTHR10044:SF129
PLSCT00000010954	PANTHER:PTHR24015,PANTHER:PTHR24015:SF319
PLSCT00000007743	PANTHER:PTHR24012,PANTHER:PTHR24012:SF358
PLSCT00000015505	PANTHER:PTHR23503,PANTHER:PTHR23503:SF37
PLSCT00000005560	PANTHER:PTHR12785,PANTHER:PTHR12785:SF8
PLSCT00000011451	PANTHER:PTHR10909,PANTHER:PTHR10909:SF282
PLSCT00000016626	PANTHER:PTHR31412,PANTHER:PTHR31412:SF0
PLSCT00000003431	PANTHER:PTHR13468,PANTHER:PTHR13468:SF1
PLSCT00000001280	PANTHER:PTHR13794,PANTHER:PTHR13794:SF13
PLSCT00000011325	PANTHER:PTHR15136,PANTHER:PTHR15136:SF5
PLSCT00000012906	PANTHER:PTHR31451
PLSCT00000000767	PANTHER:PTHR12691,PANTHER:PTHR12691:SF10
PLSCT00000018204	PANTHER:PTHR24031,PANTHER:PTHR24031:SF25
PLSCT00000017661	PANTHER:PTHR10663,PANTHER:PTHR10663:SF114
PLSCT00000002844	PANTHER:PTHR14222,PANTHER:PTHR14222:SF2
PLSCT00000012224	PANTHER:PTHR11599,PANTHER:PTHR11599:SF4
PLSCT00000015162	PANTHER:PTHR12356,PANTHER:PTHR12356:SF3
PLSCT00000002295	PANTHER:PTHR11054,PANTHER:PTHR11054:SF0
PLSCT00000002671	PANTHER:PTHR32401,PANTHER:PTHR32401:SF2
PLSCT00000005929	PANTHER:PTHR10742,PANTHER:PTHR10742:SF284
PLSCT00000007046	PANTHER:PTHR11972,PANTHER:PTHR11972:SF44
PLSCT00000012097	PANTHER:PTHR24064,PANTHER:PTHR24064:SF279
PLSCT00000004773	PANTHER:PTHR24320,PANTHER:PTHR24320:SF73
PLSCT00000020833	PANTHER:PTHR24012
PLSCT00000013831	PANTHER:PTHR24096,PANTHER:PTHR24096:SF213
PLSCT00000014224	PANTHER:PTHR11875,PANTHER:PTHR11875:SF60
PLSCT00000004558	PANTHER:PTHR31875,PANTHER:PTHR31875:SF2
PLSCT00000008164	PANTHER:PTHR32227,PANTHER:PTHR32227:SF49
PLSCT00000015562	PANTHER:PTHR21597
PLSCT00000011391	PANTHER:PTHR11406,PANTHER:PTHR11406:SF11
PLSCT00000016568	PANTHER:PTHR34965,PANTHER:PTHR34965:SF1
PLSCT00000013992	PANTHER:PTHR31832,PANTHER:PTHR31832:SF5
PLSCT00000014529	PANTHER:PTHR23421,PANTHER:PTHR23421:SF69
PLSCT00000017036	PANTHER:PTHR21355,PANTHER:PTHR21355:SF0
PLSCT00000004661	PANTHER:PTHR22884,PANTHER:PTHR22884:SF370
PLSCT00000010916	PANTHER:PTHR22974,PANTHER:PTHR22974:SF21
PLSCT00000011032	PANTHER:PTHR11811,PANTHER:PTHR11811:SF33
PLSCT00000015375	PANTHER:PTHR34281,PANTHER:PTHR34281:SF2
PLSCT00000006844	PANTHER:PTHR15565,PANTHER:PTHR15565:SF0
PLSCT00000001365	PANTHER:PTHR11773,PANTHER:PTHR11773:SF1
PLSCT00000018692	PANTHER:PTHR31238
PLSCT00000005858	PANTHER:PTHR14221,PANTHER:PTHR14221:SF0
PLSCT00000008104	PANTHER:PTHR22594,PANTHER:PTHR22594:SF20
PLSCT00000019668	PANTHER:PTHR33400,PANTHER:PTHR33400:SF1
PLSCT00000010480	PANTHER:PTHR13683,PANTHER:PTHR13683:SF286
PLSCT00000018574	PANTHER:PTHR23077,PANTHER:PTHR23077:SF27
PLSCT00000019201	PANTHER:PTHR12802,PANTHER:PTHR12802:SF41
PLSCT00000011194	PANTHER:PTHR23152,PANTHER:PTHR23152:SF4
PLSCT00000010975	PANTHER:PTHR10584,PANTHER:PTHR10584:SF162
PLSCT00000012045	PANTHER:PTHR14927,PANTHER:PTHR14927:SF0
PLSCT00000008865	PANTHER:PTHR13789,PANTHER:PTHR13789:SF234
PLSCT00000014852	PANTHER:PTHR23091,PANTHER:PTHR23091:SF46
PLSCT00000013469	PANTHER:PTHR22768
PLSCT00000006218	PANTHER:PTHR27006
PLSCT00000016823	PANTHER:PTHR10805
PLSCT00000020536	PANTHER:PTHR10638,PANTHER:PTHR10638:SF34
PLSCT00000006737	PANTHER:PTHR15371,PANTHER:PTHR15371:SF7
PLSCT00000019667	PANTHER:PTHR23086,PANTHER:PTHR23086:SF42
PLSCT00000005956	PANTHER:PTHR31356,PANTHER:PTHR31356:SF4
PLSCT00000021150	PANTHER:PTHR12231,PANTHER:PTHR12231:SF147
PLSCT00000002339	PANTHER:PTHR11659,PANTHER:PTHR11659:SF0
PLSCT00000004124	PANTHER:PTHR34192,PANTHER:PTHR34192:SF2
PLSCT00000013635	PANTHER:PTHR23151,PANTHER:PTHR23151:SF8
PLSCT00000011168	PANTHER:PTHR24095,PANTHER:PTHR24095:SF153
PLSCT00000013475	PANTHER:PTHR11102,PANTHER:PTHR11102:SF99
PLSCT00000004804	PANTHER:PTHR12136,PANTHER:PTHR12136:SF47
PLSCT00000012629	PANTHER:PTHR24413,PANTHER:PTHR24413:SF121
PLSCT00000021633	PANTHER:PTHR14005
PLSCT00000004978	PANTHER:PTHR31029,PANTHER:PTHR31029:SF3
PLSCT00000008782	PANTHER:PTHR22967,PANTHER:PTHR22967:SF66
PLSCT00000015875	PANTHER:PTHR11732
PLSCT00000005927	PANTHER:PTHR35287
PLSCT00000006841	PANTHER:PTHR34965,PANTHER:PTHR34965:SF1
PLSCT00000005776	PANTHER:PTHR12848,PANTHER:PTHR12848:SF16
PLSCT00000014343	PANTHER:PTHR12736,PANTHER:PTHR12736:SF14
PLSCT00000004916	PANTHER:PTHR20836,PANTHER:PTHR20836:SF2
PLSCT00000010214	PANTHER:PTHR11782,PANTHER:PTHR11782:SF42
PLSCT00000010106	PANTHER:PTHR10956
PLSCT00000009633	PANTHER:PTHR24067,PANTHER:PTHR24067:SF120
PLSCT00000009958	PANTHER:PTHR24343,PANTHER:PTHR24343:SF157
PLSCT00000009159	PANTHER:PTHR11933
PLSCT00000007749	PANTHER:PTHR10314,PANTHER:PTHR10314:SF88
PLSCT00000002641	PANTHER:PTHR22814,PANTHER:PTHR22814:SF105
PLSCT00000004444	PANTHER:PTHR31377,PANTHER:PTHR31377:SF2
PLSCT00000019338	PANTHER:PTHR24012,PANTHER:PTHR24012:SF426
PLSCT00000005205	PANTHER:PTHR11215,PANTHER:PTHR11215:SF1
PLSCT00000001663	PANTHER:PTHR12290,PANTHER:PTHR12290:SF2
PLSCT00000006996	PANTHER:PTHR13697,PANTHER:PTHR13697:SF7
PLSCT00000020300	PANTHER:PTHR23257,PANTHER:PTHR23257:SF381
PLSCT00000019746	PANTHER:PTHR11075,PANTHER:PTHR11075:SF6
PLSCT00000006882	PANTHER:PTHR11098,PANTHER:PTHR11098:SF17
PLSCT00000016236	PANTHER:PTHR10784
PLSCT00000014189	PANTHER:PTHR11695,PANTHER:PTHR11695:SF31
PLSCT00000017508	PANTHER:PTHR38169,PANTHER:PTHR38169:SF2
PLSCT00000020058	PANTHER:PTHR31983
PLSCT00000008074	PANTHER:PTHR24089,PANTHER:PTHR24089:SF370
PLSCT00000012568	PANTHER:PTHR13206
PLSCT00000001293	PANTHER:PTHR31683,PANTHER:PTHR31683:SF3
PLSCT00000013124	PANTHER:PTHR12654
PLSCT00000006502	PANTHER:PTHR10026,PANTHER:PTHR10026:SF13
PLSCT00000009940	PANTHER:PTHR24298,PANTHER:PTHR24298:SF174
PLSCT00000020728	PANTHER:PTHR12961
PLSCT00000014794	PANTHER:PTHR35702,PANTHER:PTHR35702:SF1
PLSCT00000009319	PANTHER:PTHR35552,PANTHER:PTHR35552:SF1
PLSCT00000006379	PANTHER:PTHR12231,PANTHER:PTHR12231:SF150
PLSCT00000015974	PANTHER:PTHR20861,PANTHER:PTHR20861:SF2
PLSCT00000014626	PANTHER:PTHR14398,PANTHER:PTHR14398:SF0
PLSCT00000005109	PANTHER:PTHR12801,PANTHER:PTHR12801:SF56
PLSCT00000009254	PANTHER:PTHR15722,PANTHER:PTHR15722:SF7
PLSCT00000009067	PANTHER:PTHR21148,PANTHER:PTHR21148:SF22
PLSCT00000015097	PANTHER:PTHR10774,PANTHER:PTHR10774:SF1
PLSCT00000002566	PANTHER:PTHR11931,PANTHER:PTHR11931:SF6
PLSCT00000010749	PANTHER:PTHR14194,PANTHER:PTHR14194:SF78
PLSCT00000003566	PANTHER:PTHR10982
PLSCT00000017045	PANTHER:PTHR11644,PANTHER:PTHR11644:SF2
PLSCT00000011470	PANTHER:PTHR11926
PLSCT00000020656	PANTHER:PTHR11938,PANTHER:PTHR11938:SF75
PLSCT00000002094	PANTHER:PTHR10859,PANTHER:PTHR10859:SF49
PLSCT00000013057	PANTHER:PTHR33829
PLSCT00000002151	PANTHER:PTHR21234
PLSCT00000016238	PANTHER:PTHR11216,PANTHER:PTHR11216:SF73
PLSCT00000020301	PANTHER:PTHR23257,PANTHER:PTHR23257:SF518
PLSCT00000021365	PANTHER:PTHR13414
PLSCT00000013883	PANTHER:PTHR10666
PLSCT00000000214	PANTHER:PTHR12758,PANTHER:PTHR12758:SF19
PLSCT00000001519	PANTHER:PTHR31889,PANTHER:PTHR31889:SF2
PLSCT00000019478	PANTHER:PTHR30603,PANTHER:PTHR30603:SF18
PLSCT00000011652	PANTHER:PTHR11654,PANTHER:PTHR11654:SF76
PLSCT00000002522	PANTHER:PTHR10362,PANTHER:PTHR10362:SF18
PLSCT00000003654	PANTHER:PTHR12514,PANTHER:PTHR12514:SF1
PLSCT00000021431	PANTHER:PTHR23410
PLSCT00000005864	PANTHER:PTHR12777
PLSCT00000017371	PANTHER:PTHR37188
PLSCT00000016628	PANTHER:PTHR10762,PANTHER:PTHR10762:SF1
PLSCT00000015535	PANTHER:PTHR12883
PLSCT00000017767	PANTHER:PTHR11548,PANTHER:PTHR11548:SF2
PLSCT00000014277	PANTHER:PTHR24006,PANTHER:PTHR24006:SF507
PLSCT00000020768	PANTHER:PTHR11886,PANTHER:PTHR11886:SF22
PLSCT00000006410	PANTHER:PTHR28650
PLSCT00000012364	PANTHER:PTHR13673,PANTHER:PTHR13673:SF0
PLSCT00000019952	PANTHER:PTHR33103,PANTHER:PTHR33103:SF8
PLSCT00000016122	PANTHER:PTHR33427,PANTHER:PTHR33427:SF1
PLSCT00000020633	PANTHER:PTHR22762,PANTHER:PTHR22762:SF54
PLSCT00000008514	PANTHER:PTHR10909,PANTHER:PTHR10909:SF282
PLSCT00000006377	PANTHER:PTHR12406,PANTHER:PTHR12406:SF7
PLSCT00000009939	PANTHER:PTHR24298,PANTHER:PTHR24298:SF174
PLSCT00000019760	PANTHER:PTHR32133,PANTHER:PTHR32133:SF111
PLSCT00000003718	PANTHER:PTHR27002
PLSCT00000017398	PANTHER:PTHR24089,PANTHER:PTHR24089:SF300
PLSCT00000007004	PANTHER:PTHR10996,PANTHER:PTHR10996:SF123
PLSCT00000006400	PANTHER:PTHR11465
PLSCT00000016714	PANTHER:PTHR13748,PANTHER:PTHR13748:SF4
PLSCT00000001616	PANTHER:PTHR10783,PANTHER:PTHR10783:SF53
PLSCT00000018212	PANTHER:PTHR13815,PANTHER:PTHR13815:SF6
PLSCT00000021641	PANTHER:PTHR21717,PANTHER:PTHR21717:SF30
PLSCT00000008208	PANTHER:PTHR34935
PLSCT00000014555	PANTHER:PTHR14577,PANTHER:PTHR14577:SF0
PLSCT00000015241	PANTHER:PTHR31374
PLSCT00000014486	PANTHER:PTHR24298,PANTHER:PTHR24298:SF56
PLSCT00000002366	PANTHER:PTHR21654,PANTHER:PTHR21654:SF13
PLSCT00000016521	PANTHER:PTHR31989,PANTHER:PTHR31989:SF39
PLSCT00000003982	PANTHER:PTHR13291,PANTHER:PTHR13291:SF0
PLSCT00000007516	PANTHER:PTHR11630,PANTHER:PTHR11630:SF43
PLSCT00000019185	PANTHER:PTHR13848
PLSCT00000015519	PANTHER:PTHR10174,PANTHER:PTHR10174:SF100
PLSCT00000012280	PANTHER:PTHR24015,PANTHER:PTHR24015:SF591
PLSCT00000009506	PANTHER:PTHR31384,PANTHER:PTHR31384:SF3
PLSCT00000017272	PANTHER:PTHR24095,PANTHER:PTHR24095:SF153
PLSCT00000004590	PANTHER:PTHR21600,PANTHER:PTHR21600:SF11
PLSCT00000021430	PANTHER:PTHR10438,PANTHER:PTHR10438:SF255
PLSCT00000016722	PANTHER:PTHR24093,PANTHER:PTHR24093:SF315
PLSCT00000019119	PANTHER:PTHR11019,PANTHER:PTHR11019:SF112
PLSCT00000009412	PANTHER:PTHR23130,PANTHER:PTHR23130:SF84
PLSCT00000010798	PANTHER:PTHR20861,PANTHER:PTHR20861:SF1
PLSCT00000001392	PANTHER:PTHR19229,PANTHER:PTHR19229:SF127
PLSCT00000015532	PANTHER:PTHR11851,PANTHER:PTHR11851:SF123
PLSCT00000021323	PANTHER:PTHR24031,PANTHER:PTHR24031:SF249
PLSCT00000001083	PANTHER:PTHR10484
PLSCT00000017848	PANTHER:PTHR12604,PANTHER:PTHR12604:SF4
PLSCT00000002719	PANTHER:PTHR31642,PANTHER:PTHR31642:SF20
PLSCT00000011787	PANTHER:PTHR10804,PANTHER:PTHR10804:SF90
PLSCT00000011784	PANTHER:PTHR24031,PANTHER:PTHR24031:SF68
PLSCT00000010450	PANTHER:PTHR12210,PANTHER:PTHR12210:SF64
PLSCT00000008043	PANTHER:PTHR11732
PLSCT00000010028	PANTHER:PTHR30620,PANTHER:PTHR30620:SF40
PLSCT00000001402	PANTHER:PTHR31315
PLSCT00000008334	PANTHER:PTHR10218,PANTHER:PTHR10218:SF223
PLSCT00000003839	PANTHER:PTHR11006
PLSCT00000018636	PANTHER:PTHR22849,PANTHER:PTHR22849:SF37
PLSCT00000006208	PANTHER:PTHR11384,PANTHER:PTHR11384:SF30
PLSCT00000007329	PANTHER:PTHR34127,PANTHER:PTHR34127:SF2
PLSCT00000008737	PANTHER:PTHR27001,PANTHER:PTHR27001:SF183
PLSCT00000002465	PANTHER:PTHR24031,PANTHER:PTHR24031:SF318
PLSCT00000006370	PANTHER:PTHR10617,PANTHER:PTHR10617:SF103
PLSCT00000019154	PANTHER:PTHR24320,PANTHER:PTHR24320:SF100
PLSCT00000012879	PANTHER:PTHR11780,PANTHER:PTHR11780:SF8
PLSCT00000017254	PANTHER:PTHR13697,PANTHER:PTHR13697:SF7
PLSCT00000002580	PANTHER:PTHR10322,PANTHER:PTHR10322:SF23
PLSCT00000020316	PANTHER:PTHR34385,PANTHER:PTHR34385:SF2
PLSCT00000018413	PANTHER:PTHR13390,PANTHER:PTHR13390:SF0
PLSCT00000015188	PANTHER:PTHR11685,PANTHER:PTHR11685:SF119
PLSCT00000014896	PANTHER:PTHR11668,PANTHER:PTHR11668:SF267
PLSCT00000016815	PANTHER:PTHR11730,PANTHER:PTHR11730:SF38
PLSCT00000014710	PANTHER:PTHR24015,PANTHER:PTHR24015:SF319
PLSCT00000001994	PANTHER:PTHR31549
PLSCT00000018335	PANTHER:PTHR23215
PLSCT00000014539	PANTHER:PTHR10799,PANTHER:PTHR10799:SF577
PLSCT00000019291	PANTHER:PTHR12884
PLSCT00000001098	PANTHER:PTHR19229,PANTHER:PTHR19229:SF36
PLSCT00000017411	PANTHER:PTHR31356,PANTHER:PTHR31356:SF9
PLSCT00000019141	PANTHER:PTHR23429,PANTHER:PTHR23429:SF4
PLSCT00000006576	PANTHER:PTHR24320,PANTHER:PTHR24320:SF72
PLSCT00000002917	PANTHER:PTHR21461,PANTHER:PTHR21461:SF12
PLSCT00000020390	PANTHER:PTHR31916,PANTHER:PTHR31916:SF3
PLSCT00000014784	PANTHER:PTHR10634
PLSCT00000006014	PANTHER:PTHR12121,PANTHER:PTHR12121:SF34
PLSCT00000008673	PANTHER:PTHR10885,PANTHER:PTHR10885:SF4
PLSCT00000008770	PANTHER:PTHR23315,PANTHER:PTHR23315:SF69
PLSCT00000008601	PANTHER:PTHR24093,PANTHER:PTHR24093:SF355
PLSCT00000020555	PANTHER:PTHR24092,PANTHER:PTHR24092:SF75
PLSCT00000021237	PANTHER:PTHR24092,PANTHER:PTHR24092:SF74
PLSCT00000017314	PANTHER:PTHR11629
PLSCT00000001150	PANTHER:PTHR12789
PLSCT00000014911	PANTHER:PTHR21631,PANTHER:PTHR21631:SF12
PLSCT00000005393	PANTHER:PTHR21257,PANTHER:PTHR21257:SF34
PLSCT00000003995	PANTHER:PTHR12570,PANTHER:PTHR12570:SF12
PLSCT00000020991	PANTHER:PTHR10809,PANTHER:PTHR10809:SF46
PLSCT00000005547	PANTHER:PTHR23222
PLSCT00000001646	PANTHER:PTHR11668,PANTHER:PTHR11668:SF241
PLSCT00000003306	PANTHER:PTHR11802,PANTHER:PTHR11802:SF3
PLSCT00000021417	PANTHER:PTHR20852,PANTHER:PTHR20852:SF7
PLSCT00000012658	PANTHER:PTHR10196,PANTHER:PTHR10196:SF57
PLSCT00000003101	PANTHER:PTHR10724,PANTHER:PTHR10724:SF7
PLSCT00000004648	PANTHER:PTHR31280,PANTHER:PTHR31280:SF4
PLSCT00000017814	PANTHER:PTHR10520,PANTHER:PTHR10520:SF7
PLSCT00000018337	PANTHER:PTHR23338
PLSCT00000003446	PANTHER:PTHR24031,PANTHER:PTHR24031:SF219
PLSCT00000004267	PANTHER:PTHR11638,PANTHER:PTHR11638:SF90
PLSCT00000020976	PANTHER:PTHR24223
PLSCT00000014209	PANTHER:PTHR10361,PANTHER:PTHR10361:SF33
PLSCT00000002259	PANTHER:PTHR36771
PLSCT00000011124	PANTHER:PTHR12809,PANTHER:PTHR12809:SF2
PLSCT00000013677	PANTHER:PTHR37604
PLSCT00000010447	PANTHER:PTHR33675,PANTHER:PTHR33675:SF1
PLSCT00000018960	PANTHER:PTHR13480,PANTHER:PTHR13480:SF0
PLSCT00000013506	PANTHER:PTHR11695,PANTHER:PTHR11695:SF506
PLSCT00000001669	PANTHER:PTHR11599,PANTHER:PTHR11599:SF63
PLSCT00000015419	PANTHER:PTHR12811,PANTHER:PTHR12811:SF0
PLSCT00000000709	PANTHER:PTHR13976
PLSCT00000021029	PANTHER:PTHR31499,PANTHER:PTHR31499:SF2
PLSCT00000008719	PANTHER:PTHR10357,PANTHER:PTHR10357:SF118
PLSCT00000004730	PANTHER:PTHR11695,PANTHER:PTHR11695:SF598
PLSCT00000012525	PANTHER:PTHR20275,PANTHER:PTHR20275:SF2
PLSCT00000012765	PANTHER:PTHR14418,PANTHER:PTHR14418:SF5
PLSCT00000003313	PANTHER:PTHR11662,PANTHER:PTHR11662:SF232
PLSCT00000020710	PANTHER:PTHR32116,PANTHER:PTHR32116:SF4
PLSCT00000010674	PANTHER:PTHR11751,PANTHER:PTHR11751:SF317
PLSCT00000020752	PANTHER:PTHR11440,PANTHER:PTHR11440:SF3
PLSCT00000016818	PANTHER:PTHR24031,PANTHER:PTHR24031:SF228
PLSCT00000013219	PANTHER:PTHR13683,PANTHER:PTHR13683:SF287
PLSCT00000010178	PANTHER:PTHR21481
PLSCT00000012744	PANTHER:PTHR11851,PANTHER:PTHR11851:SF49
PLSCT00000014316	PANTHER:PTHR33566,PANTHER:PTHR33566:SF1
PLSCT00000020825	PANTHER:PTHR10887,PANTHER:PTHR10887:SF378
PLSCT00000007094	PANTHER:PTHR11370,PANTHER:PTHR11370:SF5
PLSCT00000007754	PANTHER:PTHR24221
PLSCT00000000407	PANTHER:PTHR11132,PANTHER:PTHR11132:SF114
PLSCT00000012934	PANTHER:PTHR21262,PANTHER:PTHR21262:SF13
PLSCT00000000821	PANTHER:PTHR10217,PANTHER:PTHR10217:SF494
PLSCT00000004199	PANTHER:PTHR10145,PANTHER:PTHR10145:SF6
PLSCT00000013375	PANTHER:PTHR11864,PANTHER:PTHR11864:SF0
PLSCT00000015286	PANTHER:PTHR21068,PANTHER:PTHR21068:SF22
PLSCT00000009668	PANTHER:PTHR13457,PANTHER:PTHR13457:SF1
PLSCT00000007037	PANTHER:PTHR31843,PANTHER:PTHR31843:SF1
PLSCT00000021353	PANTHER:PTHR11351,PANTHER:PTHR11351:SF2
PLSCT00000003596	PANTHER:PTHR21011,PANTHER:PTHR21011:SF1
PLSCT00000012054	PANTHER:PTHR24015
PLSCT00000008142	PANTHER:PTHR14087
PLSCT00000018541	PANTHER:PTHR12561,PANTHER:PTHR12561:SF9
PLSCT00000003030	PANTHER:PTHR24072,PANTHER:PTHR24072:SF73
PLSCT00000015914	PANTHER:PTHR10073,PANTHER:PTHR10073:SF12
