PLSCT00000018431	TIGRFAM:TIGR00574
PLSCT00000007700	TIGRFAM:TIGR02937
PLSCT00000001712	TIGRFAM:TIGR01100
PLSCT00000019506	TIGRFAM:TIGR00581
PLSCT00000017344	TIGRFAM:TIGR04406
PLSCT00000008562	TIGRFAM:TIGR00060
PLSCT00000004161	TIGRFAM:TIGR00756
PLSCT00000002474	TIGRFAM:TIGR00687
PLSCT00000011162	TIGRFAM:TIGR00071
PLSCT00000011534	TIGRFAM:TIGR02937
PLSCT00000015934	TIGRFAM:TIGR00101
PLSCT00000021330	TIGRFAM:TIGR00756
PLSCT00000003919	TIGRFAM:TIGR01494,TIGRFAM:TIGR01652
PLSCT00000006701	TIGRFAM:TIGR01064
PLSCT00000004187	TIGRFAM:TIGR00229
PLSCT00000011928	TIGRFAM:TIGR01755
PLSCT00000013624	TIGRFAM:TIGR00006
PLSCT00000018946	TIGRFAM:TIGR00879
PLSCT00000009920	TIGRFAM:TIGR01071
PLSCT00000003583	TIGRFAM:TIGR00231
PLSCT00000000544	TIGRFAM:TIGR00089,TIGRFAM:TIGR01578
PLSCT00000012599	TIGRFAM:TIGR00231
PLSCT00000018765	TIGRFAM:TIGR00231
PLSCT00000012235	TIGRFAM:TIGR00567
PLSCT00000019921	TIGRFAM:TIGR01494
PLSCT00000010149	TIGRFAM:TIGR01242
PLSCT00000013162	TIGRFAM:TIGR00673
PLSCT00000019601	TIGRFAM:TIGR03059
PLSCT00000016535	TIGRFAM:TIGR01310
PLSCT00000017458	TIGRFAM:TIGR00756
PLSCT00000016920	TIGRFAM:TIGR00231
PLSCT00000006581	TIGRFAM:TIGR00730
PLSCT00000000865	TIGRFAM:TIGR00005
PLSCT00000021526	TIGRFAM:TIGR01160
PLSCT00000020466	TIGRFAM:TIGR01126
PLSCT00000004098	TIGRFAM:TIGR00376
PLSCT00000017888	TIGRFAM:TIGR01494
PLSCT00000016855	TIGRFAM:TIGR00027
PLSCT00000009734	TIGRFAM:TIGR01885
PLSCT00000012349	TIGRFAM:TIGR01642
PLSCT00000003291	TIGRFAM:TIGR01494
PLSCT00000011856	TIGRFAM:TIGR02765
PLSCT00000003912	TIGRFAM:TIGR00706
PLSCT00000021459	TIGRFAM:TIGR00229
PLSCT00000009439	TIGRFAM:TIGR00231
PLSCT00000002691	TIGRFAM:TIGR00233
PLSCT00000010703	TIGRFAM:TIGR00037
PLSCT00000015825	TIGRFAM:TIGR01242
PLSCT00000001973	TIGRFAM:TIGR02091
PLSCT00000011624	TIGRFAM:TIGR01790
PLSCT00000007260	TIGRFAM:TIGR00109
PLSCT00000013386	TIGRFAM:TIGR01557
PLSCT00000004399	TIGRFAM:TIGR00231
PLSCT00000007308	TIGRFAM:TIGR00879
PLSCT00000013004	TIGRFAM:TIGR00231
PLSCT00000013552	TIGRFAM:TIGR00231
PLSCT00000010545	TIGRFAM:TIGR03317
PLSCT00000014124	TIGRFAM:TIGR01085
PLSCT00000004271	TIGRFAM:TIGR01242
PLSCT00000001638	TIGRFAM:TIGR01640
PLSCT00000002265	TIGRFAM:TIGR01381
PLSCT00000003493	TIGRFAM:TIGR01968
PLSCT00000019684	TIGRFAM:TIGR00592
PLSCT00000006173	TIGRFAM:TIGR03156
PLSCT00000013755	TIGRFAM:TIGR00797
PLSCT00000019725	TIGRFAM:TIGR00525,TIGRFAM:TIGR00526
PLSCT00000011972	TIGRFAM:TIGR00446
PLSCT00000008916	TIGRFAM:TIGR00756
PLSCT00000002828	TIGRFAM:TIGR00756
PLSCT00000013484	TIGRFAM:TIGR01265
PLSCT00000000246	TIGRFAM:TIGR01755
PLSCT00000015684	TIGRFAM:TIGR01240
PLSCT00000014273	TIGRFAM:TIGR00993
PLSCT00000017550	TIGRFAM:TIGR01146
PLSCT00000017330	TIGRFAM:TIGR00061
PLSCT00000009551	TIGRFAM:TIGR02432
PLSCT00000009596	TIGRFAM:TIGR00797
PLSCT00000019492	TIGRFAM:TIGR00455
PLSCT00000005696	TIGRFAM:TIGR01297
PLSCT00000002199	TIGRFAM:TIGR00004
PLSCT00000004169	TIGRFAM:TIGR01474
PLSCT00000005641	TIGRFAM:TIGR00756
PLSCT00000016383	TIGRFAM:TIGR01310
PLSCT00000001292	TIGRFAM:TIGR00562
PLSCT00000007971	TIGRFAM:TIGR00756
PLSCT00000010516	TIGRFAM:TIGR00062
PLSCT00000005587	TIGRFAM:TIGR01226
PLSCT00000007978	TIGRFAM:TIGR03724
PLSCT00000017676	TIGRFAM:TIGR00212
PLSCT00000002911	TIGRFAM:TIGR01383
PLSCT00000002561	TIGRFAM:TIGR01226
PLSCT00000006734	TIGRFAM:TIGR01197
PLSCT00000012313	TIGRFAM:TIGR00419
PLSCT00000009631	TIGRFAM:TIGR01793
PLSCT00000016525	TIGRFAM:TIGR02344
PLSCT00000008272	TIGRFAM:TIGR00032
PLSCT00000004650	TIGRFAM:TIGR01369
PLSCT00000012797	TIGRFAM:TIGR00756
PLSCT00000006560	TIGRFAM:TIGR01557
PLSCT00000013303	TIGRFAM:TIGR00070
PLSCT00000014439	TIGRFAM:TIGR01116,TIGRFAM:TIGR01494
PLSCT00000008201	TIGRFAM:TIGR00756
PLSCT00000010093	TIGRFAM:TIGR00651
PLSCT00000001164	TIGRFAM:TIGR03654
PLSCT00000018163	TIGRFAM:TIGR01046
PLSCT00000012579	TIGRFAM:TIGR00756
PLSCT00000011101	TIGRFAM:TIGR00481
PLSCT00000014615	TIGRFAM:TIGR00262
PLSCT00000012775	TIGRFAM:TIGR01557
PLSCT00000004256	TIGRFAM:TIGR01317
PLSCT00000004386	TIGRFAM:TIGR01509
PLSCT00000011970	TIGRFAM:TIGR00446
PLSCT00000001420	TIGRFAM:TIGR01343
PLSCT00000013886	TIGRFAM:TIGR00604
PLSCT00000015674	TIGRFAM:TIGR00021
PLSCT00000000255	TIGRFAM:TIGR00685
PLSCT00000009200	TIGRFAM:TIGR00756
PLSCT00000007188	TIGRFAM:TIGR00453
PLSCT00000007904	TIGRFAM:TIGR01297
PLSCT00000010608	TIGRFAM:TIGR00967
PLSCT00000003852	TIGRFAM:TIGR01509
PLSCT00000016445	TIGRFAM:TIGR01297
PLSCT00000020464	TIGRFAM:TIGR01126
PLSCT00000006896	TIGRFAM:TIGR01571
PLSCT00000004813	TIGRFAM:TIGR00756
PLSCT00000003650	TIGRFAM:TIGR01640
PLSCT00000016341	TIGRFAM:TIGR00243
PLSCT00000012266	TIGRFAM:TIGR01315
PLSCT00000014410	TIGRFAM:TIGR02067
PLSCT00000010982	TIGRFAM:TIGR00211,TIGRFAM:TIGR00388
PLSCT00000006439	TIGRFAM:TIGR00231
PLSCT00000012039	TIGRFAM:TIGR01569
PLSCT00000012911	TIGRFAM:TIGR00887
PLSCT00000015489	TIGRFAM:TIGR00756
PLSCT00000020152	TIGRFAM:TIGR00231
PLSCT00000012700	TIGRFAM:TIGR01349
PLSCT00000015350	TIGRFAM:TIGR02343
PLSCT00000015203	TIGRFAM:TIGR00756
PLSCT00000005639	TIGRFAM:TIGR00756
PLSCT00000018764	TIGRFAM:TIGR00021
PLSCT00000001961	TIGRFAM:TIGR01469
PLSCT00000021341	TIGRFAM:TIGR01549,TIGRFAM:TIGR02252
PLSCT00000018819	TIGRFAM:TIGR01622
PLSCT00000016961	TIGRFAM:TIGR01351
PLSCT00000010843	TIGRFAM:TIGR01179
PLSCT00000001414	TIGRFAM:TIGR00797
PLSCT00000015417	TIGRFAM:TIGR00184
PLSCT00000010077	TIGRFAM:TIGR01028
PLSCT00000011262	TIGRFAM:TIGR01145
PLSCT00000010386	TIGRFAM:TIGR01623,TIGRFAM:TIGR01624
PLSCT00000009232	TIGRFAM:TIGR01571
PLSCT00000004253	TIGRFAM:TIGR00082
PLSCT00000012987	TIGRFAM:TIGR00578
PLSCT00000010590	TIGRFAM:TIGR00756
PLSCT00000006805	TIGRFAM:TIGR00756
PLSCT00000000947	TIGRFAM:TIGR01226
PLSCT00000012486	TIGRFAM:TIGR01559
PLSCT00000003861	TIGRFAM:TIGR01891
PLSCT00000013836	TIGRFAM:TIGR00280
PLSCT00000019994	TIGRFAM:TIGR01557
PLSCT00000008602	TIGRFAM:TIGR01494
PLSCT00000017590	TIGRFAM:TIGR01695
PLSCT00000003580	TIGRFAM:TIGR01169
PLSCT00000019900	TIGRFAM:TIGR01350
PLSCT00000003134	TIGRFAM:TIGR00021
PLSCT00000017373	TIGRFAM:TIGR01101
PLSCT00000020025	TIGRFAM:TIGR01018
PLSCT00000007853	TIGRFAM:TIGR01327
PLSCT00000001390	TIGRFAM:TIGR01359
PLSCT00000020889	TIGRFAM:TIGR01571
PLSCT00000000570	TIGRFAM:TIGR00229
PLSCT00000021140	TIGRFAM:TIGR00231
PLSCT00000019808	TIGRFAM:TIGR01559
PLSCT00000013226	TIGRFAM:TIGR00539
PLSCT00000008464	TIGRFAM:TIGR00527
PLSCT00000016789	TIGRFAM:TIGR00756
PLSCT00000012344	TIGRFAM:TIGR01642
PLSCT00000008918	TIGRFAM:TIGR03413
PLSCT00000000758	TIGRFAM:TIGR00756
PLSCT00000004790	TIGRFAM:TIGR01040
PLSCT00000003050	TIGRFAM:TIGR02937
PLSCT00000009479	TIGRFAM:TIGR00291
PLSCT00000016104	TIGRFAM:TIGR01507,TIGRFAM:TIGR01787
PLSCT00000019242	TIGRFAM:TIGR00747
PLSCT00000011861	TIGRFAM:TIGR00235
PLSCT00000005514	TIGRFAM:TIGR00756
PLSCT00000005837	TIGRFAM:TIGR01662,TIGRFAM:TIGR01668
PLSCT00000011763	TIGRFAM:TIGR01416
PLSCT00000003085	TIGRFAM:TIGR00417
PLSCT00000021488	TIGRFAM:TIGR00535
PLSCT00000016347	TIGRFAM:TIGR00243
PLSCT00000016643	TIGRFAM:TIGR00229
PLSCT00000004115	TIGRFAM:TIGR01297
PLSCT00000012380	TIGRFAM:TIGR00339
PLSCT00000008073	TIGRFAM:TIGR01771
PLSCT00000012847	TIGRFAM:TIGR00756
PLSCT00000004432	TIGRFAM:TIGR03421,TIGRFAM:TIGR03422
PLSCT00000016219	TIGRFAM:TIGR00217
PLSCT00000013762	TIGRFAM:TIGR00756
PLSCT00000003620	TIGRFAM:TIGR00121
PLSCT00000009987	TIGRFAM:TIGR01053
PLSCT00000019685	TIGRFAM:TIGR03399
PLSCT00000004305	TIGRFAM:TIGR00756
PLSCT00000020013	TIGRFAM:TIGR01077
PLSCT00000008214	TIGRFAM:TIGR00756
PLSCT00000017210	TIGRFAM:TIGR00597
PLSCT00000004666	TIGRFAM:TIGR00756
PLSCT00000001161	TIGRFAM:TIGR00231
PLSCT00000008015	TIGRFAM:TIGR01018
PLSCT00000015517	TIGRFAM:TIGR02087
PLSCT00000005596	TIGRFAM:TIGR00231
PLSCT00000000224	TIGRFAM:TIGR02008
PLSCT00000013395	TIGRFAM:TIGR00231
PLSCT00000015315	TIGRFAM:TIGR00002
PLSCT00000004179	TIGRFAM:TIGR00483
PLSCT00000005538	TIGRFAM:TIGR01494,TIGRFAM:TIGR01525
PLSCT00000011371	TIGRFAM:TIGR02030
PLSCT00000001518	TIGRFAM:TIGR00756
PLSCT00000020269	TIGRFAM:TIGR00756
PLSCT00000008011	TIGRFAM:TIGR01802
PLSCT00000005477	TIGRFAM:TIGR01141
PLSCT00000003367	TIGRFAM:TIGR03953
PLSCT00000005281	TIGRFAM:TIGR00756
PLSCT00000006389	TIGRFAM:TIGR01482,TIGRFAM:TIGR01484,TIGRFAM:TIGR01485
PLSCT00000011299	TIGRFAM:TIGR00033
PLSCT00000020255	TIGRFAM:TIGR01614
PLSCT00000018296	TIGRFAM:TIGR02506
PLSCT00000011742	TIGRFAM:TIGR00116
PLSCT00000019253	TIGRFAM:TIGR00706
PLSCT00000012965	TIGRFAM:TIGR01226
PLSCT00000020497	TIGRFAM:TIGR01787
PLSCT00000016745	TIGRFAM:TIGR01614
PLSCT00000008026	TIGRFAM:TIGR00553
PLSCT00000002468	TIGRFAM:TIGR00687
PLSCT00000018332	TIGRFAM:TIGR00406
PLSCT00000007556	TIGRFAM:TIGR00670
PLSCT00000000628	TIGRFAM:TIGR01622
PLSCT00000007061	TIGRFAM:TIGR01242
PLSCT00000010526	TIGRFAM:TIGR00307
PLSCT00000002029	TIGRFAM:TIGR00231
PLSCT00000014319	TIGRFAM:TIGR01772
PLSCT00000004783	TIGRFAM:TIGR01040
PLSCT00000009553	TIGRFAM:TIGR02432
PLSCT00000013032	TIGRFAM:TIGR01615
PLSCT00000015289	TIGRFAM:TIGR00231
PLSCT00000007905	TIGRFAM:TIGR00612
PLSCT00000003605	TIGRFAM:TIGR00797
PLSCT00000001836	TIGRFAM:TIGR01258
PLSCT00000016151	TIGRFAM:TIGR00505
PLSCT00000009960	TIGRFAM:TIGR00165
PLSCT00000006153	TIGRFAM:TIGR01126
PLSCT00000006296	TIGRFAM:TIGR00229
PLSCT00000010290	TIGRFAM:TIGR02091
PLSCT00000021016	TIGRFAM:TIGR01472
PLSCT00000011712	TIGRFAM:TIGR01557
PLSCT00000016339	TIGRFAM:TIGR00243
PLSCT00000002470	TIGRFAM:TIGR00687
PLSCT00000021382	TIGRFAM:TIGR00836
PLSCT00000019717	TIGRFAM:TIGR00459
PLSCT00000020662	TIGRFAM:TIGR00756
PLSCT00000006483	TIGRFAM:TIGR00307
PLSCT00000003790	TIGRFAM:TIGR01024
PLSCT00000002592	TIGRFAM:TIGR00092
PLSCT00000019064	TIGRFAM:TIGR00395
PLSCT00000006700	TIGRFAM:TIGR01930
PLSCT00000003301	TIGRFAM:TIGR00946
PLSCT00000007829	TIGRFAM:TIGR01509
PLSCT00000021462	TIGRFAM:TIGR01788
PLSCT00000014488	TIGRFAM:TIGR01429
PLSCT00000008944	TIGRFAM:TIGR00021
PLSCT00000021015	TIGRFAM:TIGR00231
PLSCT00000004649	TIGRFAM:TIGR01494
PLSCT00000005457	TIGRFAM:TIGR00621
PLSCT00000013482	TIGRFAM:TIGR01614
PLSCT00000010567	TIGRFAM:TIGR02967
PLSCT00000012926	TIGRFAM:TIGR00730
PLSCT00000020185	TIGRFAM:TIGR00756
PLSCT00000019824	TIGRFAM:TIGR00177
PLSCT00000001851	TIGRFAM:TIGR03150
PLSCT00000019794	TIGRFAM:TIGR02227
PLSCT00000021153	TIGRFAM:TIGR00756
PLSCT00000001576	TIGRFAM:TIGR03636
PLSCT00000004759	TIGRFAM:TIGR02239
PLSCT00000014675	TIGRFAM:TIGR00231
PLSCT00000016141	TIGRFAM:TIGR00204
PLSCT00000010654	TIGRFAM:TIGR01464
PLSCT00000005188	TIGRFAM:TIGR00481
PLSCT00000006286	TIGRFAM:TIGR00730
PLSCT00000011865	TIGRFAM:TIGR00345
PLSCT00000007341	TIGRFAM:TIGR01251
PLSCT00000013858	TIGRFAM:TIGR00756
PLSCT00000005428	TIGRFAM:TIGR00059
PLSCT00000007347	TIGRFAM:TIGR01251
PLSCT00000020569	TIGRFAM:TIGR01565,TIGRFAM:TIGR01566
PLSCT00000003336	TIGRFAM:TIGR02962
PLSCT00000002341	TIGRFAM:TIGR01197
PLSCT00000015772	TIGRFAM:TIGR00127
PLSCT00000016723	TIGRFAM:TIGR00003,TIGRFAM:TIGR01494
PLSCT00000012660	TIGRFAM:TIGR00761
PLSCT00000004589	TIGRFAM:TIGR00093
PLSCT00000009971	TIGRFAM:TIGR01101
PLSCT00000000682	TIGRFAM:TIGR01494,TIGRFAM:TIGR01652
PLSCT00000015149	TIGRFAM:TIGR01161,TIGRFAM:TIGR01162
PLSCT00000016906	TIGRFAM:TIGR01571
PLSCT00000018330	TIGRFAM:TIGR02342
PLSCT00000012615	TIGRFAM:TIGR01722
PLSCT00000008413	TIGRFAM:TIGR00125
PLSCT00000002593	TIGRFAM:TIGR00068
PLSCT00000021305	TIGRFAM:TIGR00693
PLSCT00000002607	TIGRFAM:TIGR01571
PLSCT00000015029	TIGRFAM:TIGR00149
PLSCT00000009228	TIGRFAM:TIGR00455
PLSCT00000008730	TIGRFAM:TIGR01614
PLSCT00000001815	TIGRFAM:TIGR01028
PLSCT00000001655	TIGRFAM:TIGR00292
PLSCT00000017923	TIGRFAM:TIGR02227
PLSCT00000004937	TIGRFAM:TIGR01358
PLSCT00000020773	TIGRFAM:TIGR00279
PLSCT00000014682	TIGRFAM:TIGR00021
PLSCT00000017915	TIGRFAM:TIGR00116
PLSCT00000000925	TIGRFAM:TIGR01494
PLSCT00000000465	TIGRFAM:TIGR01482,TIGRFAM:TIGR01484,TIGRFAM:TIGR01485
PLSCT00000001960	TIGRFAM:TIGR01241
PLSCT00000002335	TIGRFAM:TIGR01494
PLSCT00000012610	TIGRFAM:TIGR00657
PLSCT00000004329	TIGRFAM:TIGR00614
PLSCT00000005999	TIGRFAM:TIGR01758,TIGRFAM:TIGR01759
PLSCT00000017307	TIGRFAM:TIGR00513
PLSCT00000019885	TIGRFAM:TIGR02348
PLSCT00000001048	TIGRFAM:TIGR00419
PLSCT00000000632	TIGRFAM:TIGR01622
PLSCT00000002176	TIGRFAM:TIGR01494,TIGRFAM:TIGR01525
PLSCT00000014451	TIGRFAM:TIGR00059
PLSCT00000017074	TIGRFAM:TIGR00756
PLSCT00000009502	TIGRFAM:TIGR01757,TIGRFAM:TIGR01759
PLSCT00000004616	TIGRFAM:TIGR01051
PLSCT00000014353	TIGRFAM:TIGR01060
PLSCT00000005854	TIGRFAM:TIGR00797
PLSCT00000019363	TIGRFAM:TIGR01494,TIGRFAM:TIGR01652
PLSCT00000003199	TIGRFAM:TIGR01780
PLSCT00000012943	TIGRFAM:TIGR00059
PLSCT00000006228	TIGRFAM:TIGR00788
PLSCT00000006393	TIGRFAM:TIGR01484
PLSCT00000006285	TIGRFAM:TIGR01241
PLSCT00000012872	TIGRFAM:TIGR00803
PLSCT00000018169	TIGRFAM:TIGR02477
PLSCT00000000320	TIGRFAM:TIGR01359
PLSCT00000018974	TIGRFAM:TIGR00231
PLSCT00000017258	TIGRFAM:TIGR00756
PLSCT00000017028	TIGRFAM:TIGR01566
PLSCT00000005042	TIGRFAM:TIGR01557
PLSCT00000008935	TIGRFAM:TIGR00756
PLSCT00000016600	TIGRFAM:TIGR01198
PLSCT00000017782	TIGRFAM:TIGR03724
PLSCT00000019592	TIGRFAM:TIGR00756
PLSCT00000016766	TIGRFAM:TIGR01226
PLSCT00000005965	TIGRFAM:TIGR01534
PLSCT00000019342	TIGRFAM:TIGR01833
PLSCT00000016266	TIGRFAM:TIGR00231
PLSCT00000001510	TIGRFAM:TIGR00756
PLSCT00000017692	TIGRFAM:TIGR00727,TIGRFAM:TIGR00728
PLSCT00000009614	TIGRFAM:TIGR00001
PLSCT00000010743	TIGRFAM:TIGR00195,TIGRFAM:TIGR00633
PLSCT00000021023	TIGRFAM:TIGR00125
PLSCT00000007827	TIGRFAM:TIGR01123
PLSCT00000014512	TIGRFAM:TIGR00174
PLSCT00000006702	TIGRFAM:TIGR01064
PLSCT00000001509	TIGRFAM:TIGR00756
PLSCT00000012342	TIGRFAM:TIGR01642
PLSCT00000014441	TIGRFAM:TIGR01116,TIGRFAM:TIGR01494
PLSCT00000001623	TIGRFAM:TIGR01356
PLSCT00000003631	TIGRFAM:TIGR00756
PLSCT00000016541	TIGRFAM:TIGR01788
PLSCT00000020965	TIGRFAM:TIGR00231
PLSCT00000010552	TIGRFAM:TIGR01614
PLSCT00000011133	TIGRFAM:TIGR00756
PLSCT00000001796	TIGRFAM:TIGR00079
PLSCT00000018246	TIGRFAM:TIGR00530
PLSCT00000010471	TIGRFAM:TIGR00797
PLSCT00000007237	TIGRFAM:TIGR00455
PLSCT00000008021	TIGRFAM:TIGR00876
PLSCT00000018544	TIGRFAM:TIGR03188
PLSCT00000017683	TIGRFAM:TIGR02727
PLSCT00000014974	TIGRFAM:TIGR01064
PLSCT00000016864	TIGRFAM:TIGR00756
PLSCT00000010066	TIGRFAM:TIGR01024
PLSCT00000001689	TIGRFAM:TIGR01347
PLSCT00000018955	TIGRFAM:TIGR00756
PLSCT00000006819	TIGRFAM:TIGR00601
PLSCT00000008446	TIGRFAM:TIGR00788
PLSCT00000004882	TIGRFAM:TIGR00887
PLSCT00000015206	TIGRFAM:TIGR00756
PLSCT00000005516	TIGRFAM:TIGR00603
PLSCT00000012777	TIGRFAM:TIGR00339
PLSCT00000019047	TIGRFAM:TIGR00431
PLSCT00000013154	TIGRFAM:TIGR01891
PLSCT00000020528	TIGRFAM:TIGR00756
PLSCT00000008320	TIGRFAM:TIGR00231
PLSCT00000004323	TIGRFAM:TIGR00068
PLSCT00000013613	TIGRFAM:TIGR00801
PLSCT00000021239	TIGRFAM:TIGR00325
PLSCT00000017094	TIGRFAM:TIGR02251
PLSCT00000018702	TIGRFAM:TIGR02273
PLSCT00000008684	TIGRFAM:TIGR01855
PLSCT00000006691	TIGRFAM:TIGR03598
PLSCT00000020575	TIGRFAM:TIGR01509,TIGRFAM:TIGR01993
PLSCT00000000435	TIGRFAM:TIGR02031
PLSCT00000000265	TIGRFAM:TIGR01126
PLSCT00000021579	TIGRFAM:TIGR01039
PLSCT00000011741	TIGRFAM:TIGR01197
PLSCT00000001795	TIGRFAM:TIGR00079
PLSCT00000021229	TIGRFAM:TIGR01034
PLSCT00000018716	TIGRFAM:TIGR00501
PLSCT00000007866	TIGRFAM:TIGR00832
PLSCT00000017017	TIGRFAM:TIGR01064
PLSCT00000019554	TIGRFAM:TIGR00555
PLSCT00000001536	TIGRFAM:TIGR00528
PLSCT00000004162	TIGRFAM:TIGR00756
PLSCT00000000315	TIGRFAM:TIGR00401
PLSCT00000009062	TIGRFAM:TIGR02008
PLSCT00000018693	TIGRFAM:TIGR01494,TIGRFAM:TIGR01517
PLSCT00000014961	TIGRFAM:TIGR00551
PLSCT00000008848	TIGRFAM:TIGR02012
PLSCT00000000631	TIGRFAM:TIGR01622
PLSCT00000012408	TIGRFAM:TIGR01147
PLSCT00000009059	TIGRFAM:TIGR00756
PLSCT00000007834	TIGRFAM:TIGR01242
PLSCT00000003385	TIGRFAM:TIGR00756
PLSCT00000009441	TIGRFAM:TIGR01640
PLSCT00000003702	TIGRFAM:TIGR00260
PLSCT00000014123	TIGRFAM:TIGR01085
PLSCT00000014517	TIGRFAM:TIGR02348
PLSCT00000019922	TIGRFAM:TIGR00756
PLSCT00000020043	TIGRFAM:TIGR00562
PLSCT00000012346	TIGRFAM:TIGR01642
PLSCT00000001427	TIGRFAM:TIGR00231
PLSCT00000019500	TIGRFAM:TIGR01068
PLSCT00000006392	TIGRFAM:TIGR01484
PLSCT00000012211	TIGRFAM:TIGR01226
PLSCT00000013746	TIGRFAM:TIGR01067
PLSCT00000007132	TIGRFAM:TIGR00231,TIGRFAM:TIGR03594
PLSCT00000016671	TIGRFAM:TIGR01134
PLSCT00000003362	TIGRFAM:TIGR00296
PLSCT00000012895	TIGRFAM:TIGR03635
PLSCT00000018165	TIGRFAM:TIGR00693
PLSCT00000008788	TIGRFAM:TIGR00756
PLSCT00000018100	TIGRFAM:TIGR00756
PLSCT00000012698	TIGRFAM:TIGR02250
PLSCT00000017213	TIGRFAM:TIGR01767
PLSCT00000003789	TIGRFAM:TIGR00018,TIGRFAM:TIGR00125
PLSCT00000013007	TIGRFAM:TIGR00345
PLSCT00000000292	TIGRFAM:TIGR03033
PLSCT00000011131	TIGRFAM:TIGR00357
PLSCT00000020465	TIGRFAM:TIGR01126
PLSCT00000020703	TIGRFAM:TIGR01482,TIGRFAM:TIGR01484,TIGRFAM:TIGR01485
PLSCT00000020208	TIGRFAM:TIGR00231
PLSCT00000015637	TIGRFAM:TIGR00836
PLSCT00000017677	TIGRFAM:TIGR00212
PLSCT00000006260	TIGRFAM:TIGR00756
PLSCT00000019145	TIGRFAM:TIGR01346
PLSCT00000009921	TIGRFAM:TIGR00878
PLSCT00000019550	TIGRFAM:TIGR01444
PLSCT00000021483	TIGRFAM:TIGR01028
PLSCT00000017778	TIGRFAM:TIGR01494
PLSCT00000020748	TIGRFAM:TIGR00048
PLSCT00000020289	TIGRFAM:TIGR00125
PLSCT00000004002	TIGRFAM:TIGR04026
PLSCT00000017576	TIGRFAM:TIGR00401
PLSCT00000000357	TIGRFAM:TIGR01444
PLSCT00000015154	TIGRFAM:TIGR00788
PLSCT00000006216	TIGRFAM:TIGR00231
PLSCT00000001466	TIGRFAM:TIGR02350
PLSCT00000008693	TIGRFAM:TIGR01589
PLSCT00000019542	TIGRFAM:TIGR00756
PLSCT00000012984	TIGRFAM:TIGR01067
PLSCT00000005064	TIGRFAM:TIGR01160
PLSCT00000007120	TIGRFAM:TIGR00756
PLSCT00000019814	TIGRFAM:TIGR01289
PLSCT00000016770	TIGRFAM:TIGR01226
PLSCT00000011827	TIGRFAM:TIGR03182
PLSCT00000016469	TIGRFAM:TIGR02174
PLSCT00000020083	TIGRFAM:TIGR00414
PLSCT00000021534	TIGRFAM:TIGR01371
PLSCT00000018183	TIGRFAM:TIGR01241
PLSCT00000016325	TIGRFAM:TIGR00756
PLSCT00000004087	TIGRFAM:TIGR00815
PLSCT00000013108	TIGRFAM:TIGR00118
PLSCT00000004008	TIGRFAM:TIGR00019
PLSCT00000004484	TIGRFAM:TIGR02937
PLSCT00000007319	TIGRFAM:TIGR01557
PLSCT00000001217	TIGRFAM:TIGR01307
PLSCT00000006334	TIGRFAM:TIGR00021
PLSCT00000016459	TIGRFAM:TIGR00310
PLSCT00000020371	TIGRFAM:TIGR02245
PLSCT00000016337	TIGRFAM:TIGR00243
PLSCT00000014655	TIGRFAM:TIGR00062
PLSCT00000014571	TIGRFAM:TIGR02180
PLSCT00000015954	TIGRFAM:TIGR01557
PLSCT00000001621	TIGRFAM:TIGR01750
PLSCT00000015838	TIGRFAM:TIGR01496,TIGRFAM:TIGR01498
PLSCT00000019522	TIGRFAM:TIGR00231
PLSCT00000016006	TIGRFAM:TIGR00066
PLSCT00000009788	TIGRFAM:TIGR00079
PLSCT00000015382	TIGRFAM:TIGR03263
PLSCT00000009922	TIGRFAM:TIGR00227,TIGRFAM:TIGR00326
PLSCT00000001892	TIGRFAM:TIGR00231
PLSCT00000021250	TIGRFAM:TIGR03625
PLSCT00000011708	TIGRFAM:TIGR03596
PLSCT00000006447	TIGRFAM:TIGR01691
PLSCT00000004811	TIGRFAM:TIGR01046
PLSCT00000016398	TIGRFAM:TIGR00879
PLSCT00000004445	TIGRFAM:TIGR03380
PLSCT00000017241	TIGRFAM:TIGR01071
PLSCT00000010280	TIGRFAM:TIGR00879
PLSCT00000005068	TIGRFAM:TIGR01677
PLSCT00000007541	TIGRFAM:TIGR02346
PLSCT00000002464	TIGRFAM:TIGR00982
PLSCT00000013499	TIGRFAM:TIGR02095
PLSCT00000021628	TIGRFAM:TIGR00166
PLSCT00000021278	TIGRFAM:TIGR00068
PLSCT00000003343	TIGRFAM:TIGR00797
PLSCT00000019662	TIGRFAM:TIGR03047
PLSCT00000016272	TIGRFAM:TIGR00451
PLSCT00000010333	TIGRFAM:TIGR01557
PLSCT00000010191	TIGRFAM:TIGR00003,TIGRFAM:TIGR01494,TIGRFAM:TIGR01525
PLSCT00000009023	TIGRFAM:TIGR00756
PLSCT00000009068	TIGRFAM:TIGR00449
PLSCT00000006799	TIGRFAM:TIGR00231
PLSCT00000020891	TIGRFAM:TIGR04336
PLSCT00000003137	TIGRFAM:TIGR00797
PLSCT00000013473	TIGRFAM:TIGR00836
PLSCT00000004045	TIGRFAM:TIGR00119
PLSCT00000005442	TIGRFAM:TIGR00231
PLSCT00000020556	TIGRFAM:TIGR00982
PLSCT00000015618	TIGRFAM:TIGR00231
PLSCT00000002167	TIGRFAM:TIGR00216
PLSCT00000008594	TIGRFAM:TIGR01064
PLSCT00000003851	TIGRFAM:TIGR03953
