PLSCT00000007050	CDD:cd04254
PLSCT00000012283	CDD:cd05372
PLSCT00000006700	CDD:cd00751
PLSCT00000013905	CDD:cd06174
PLSCT00000014661	CDD:cd00075
PLSCT00000008944	CDD:cd01398
PLSCT00000012228	CDD:cd00159
PLSCT00000018404	CDD:cd15494,CDD:cd15662
PLSCT00000005457	CDD:cd04496
PLSCT00000011243	CDD:cd07981
PLSCT00000016477	CDD:cd00048
PLSCT00000013146	CDD:cd02537
PLSCT00000006299	CDD:cd06609
PLSCT00000014931	CDD:cd02440
PLSCT00000019707	CDD:cd00083,CDD:cd04873
PLSCT00000019183	CDD:cd04470
PLSCT00000007789	CDD:cd00009
PLSCT00000002916	CDD:cd01803
PLSCT00000014399	CDD:cd02440
PLSCT00000019384	CDD:cd00009
PLSCT00000006959	CDD:cd00046,CDD:cd00079
PLSCT00000019112	CDD:cd09440,CDD:cd09441
PLSCT00000008733	CDD:cd14136
PLSCT00000001030	CDD:cd11314
PLSCT00000020637	CDD:cd06257
PLSCT00000008046	CDD:cd06660
PLSCT00000020042	CDD:cd00162
PLSCT00000015840	CDD:cd00077,CDD:cd05399
PLSCT00000012440	CDD:cd04051
PLSCT00000001951	CDD:cd14066
PLSCT00000006057	CDD:cd00519
PLSCT00000017986	CDD:cd00200
PLSCT00000014684	CDD:cd06457
PLSCT00000014387	CDD:cd14752
PLSCT00000017923	CDD:cd06530
PLSCT00000002896	CDD:cd00200
PLSCT00000017051	CDD:cd01728
PLSCT00000008568	CDD:cd06594
PLSCT00000018808	CDD:cd03562
PLSCT00000012225	CDD:cd08069
PLSCT00000012015	CDD:cd06163
PLSCT00000005580	CDD:cd06472
PLSCT00000000771	CDD:cd08267
PLSCT00000019714	CDD:cd14066
PLSCT00000013813	CDD:cd04508
PLSCT00000006012	CDD:cd03263
PLSCT00000005999	CDD:cd01336
PLSCT00000000632	CDD:cd12283,CDD:cd12284,CDD:cd12285
PLSCT00000002120	CDD:cd00519
PLSCT00000004616	CDD:cd00186,CDD:cd03363
PLSCT00000015260	CDD:cd02248
PLSCT00000000740	CDD:cd00200
PLSCT00000005190	CDD:cd03505
PLSCT00000014353	CDD:cd03313
PLSCT00000011528	CDD:cd09252
PLSCT00000009060	CDD:cd10017
PLSCT00000020267	CDD:cd00027
PLSCT00000019250	CDD:cd09913
PLSCT00000018482	CDD:cd00756
PLSCT00000020836	CDD:cd00079
PLSCT00000001237	CDD:cd06174
PLSCT00000005539	CDD:cd00043
PLSCT00000010023	CDD:cd00204
PLSCT00000000780	CDD:cd08062
PLSCT00000021225	CDD:cd00162
PLSCT00000001240	CDD:cd05658
PLSCT00000015819	CDD:cd02799
PLSCT00000006285	CDD:cd00009
PLSCT00000007850	CDD:cd03406
PLSCT00000012928	CDD:cd07067
PLSCT00000019290	CDD:cd00463
PLSCT00000019140	CDD:cd08379
PLSCT00000015925	CDD:cd00072
PLSCT00000004495	CDD:cd03015
PLSCT00000002083	CDD:cd05795
PLSCT00000020418	CDD:cd05476
PLSCT00000012618	CDD:cd00060
PLSCT00000003288	CDD:cd00018
PLSCT00000016600	CDD:cd01400
PLSCT00000008139	CDD:cd02012
PLSCT00000008736	CDD:cd06660
PLSCT00000006044	CDD:cd08065
PLSCT00000019342	CDD:cd00827
PLSCT00000011247	CDD:cd04301
PLSCT00000018761	CDD:cd00009
PLSCT00000008187	CDD:cd00030
PLSCT00000019013	CDD:cd12236
PLSCT00000001394	CDD:cd03263
PLSCT00000019642	CDD:cd00079,CDD:cd12937
PLSCT00000004020	CDD:cd15777
PLSCT00000017575	CDD:cd00314
PLSCT00000015143	CDD:cd06008
PLSCT00000018012	CDD:cd00046,CDD:cd00079
PLSCT00000005242	CDD:cd13250
PLSCT00000007827	CDD:cd01557
PLSCT00000010704	CDD:cd04642
PLSCT00000013690	CDD:cd12203
PLSCT00000016101	CDD:cd09270
PLSCT00000001673	CDD:cd00831
PLSCT00000010552	CDD:cd15798
PLSCT00000014809	CDD:cd02120,CDD:cd04852
PLSCT00000006386	CDD:cd00046,CDD:cd00079
PLSCT00000018246	CDD:cd07989
PLSCT00000007176	CDD:cd00009
PLSCT00000017452	CDD:cd03445
PLSCT00000010471	CDD:cd13132
PLSCT00000008052	CDD:cd01056
PLSCT00000018852	CDD:cd14821
PLSCT00000001570	CDD:cd15465
PLSCT00000007845	CDD:cd00143
PLSCT00000003738	CDD:cd14008
PLSCT00000013486	CDD:cd07840
PLSCT00000003792	CDD:cd00156
PLSCT00000010596	CDD:cd10017
PLSCT00000002130	CDD:cd14066
PLSCT00000021435	CDD:cd00570
PLSCT00000009423	CDD:cd12524,CDD:cd12529,CDD:cd12531
PLSCT00000007000	CDD:cd05230
PLSCT00000004882	CDD:cd06174
PLSCT00000007911	CDD:cd00020,CDD:cd00030
PLSCT00000016994	CDD:cd00164
PLSCT00000010637	CDD:cd00432
PLSCT00000008684	CDD:cd01748
PLSCT00000004578	CDD:cd12671
PLSCT00000006691	CDD:cd01876
PLSCT00000010222	CDD:cd00167,CDD:cd02335
PLSCT00000000658	CDD:cd00693
PLSCT00000020516	CDD:cd00048
PLSCT00000011521	CDD:cd01080
PLSCT00000008735	CDD:cd06660
PLSCT00000002400	CDD:cd00020
PLSCT00000003616	CDD:cd14066
PLSCT00000011825	CDD:cd00010
PLSCT00000010977	CDD:cd06424
PLSCT00000005883	CDD:cd01285
PLSCT00000008896	CDD:cd00254
PLSCT00000005456	CDD:cd00009
PLSCT00000019382	CDD:cd12872
PLSCT00000019402	CDD:cd00009
PLSCT00000017617	CDD:cd00200
PLSCT00000010670	CDD:cd05471
PLSCT00000006968	CDD:cd03221
PLSCT00000002113	CDD:cd00018
PLSCT00000007218	CDD:cd02968
PLSCT00000003378	CDD:cd00452
PLSCT00000008224	CDD:cd02961,CDD:cd02981,CDD:cd02982
PLSCT00000003318	CDD:cd00831
PLSCT00000009979	CDD:cd07991
PLSCT00000003681	CDD:cd15777
PLSCT00000000985	CDD:cd00086
PLSCT00000018583	CDD:cd08061
PLSCT00000020246	CDD:cd00254
PLSCT00000018455	CDD:cd11684
PLSCT00000000562	CDD:cd00156
PLSCT00000012211	CDD:cd00332
PLSCT00000000488	CDD:cd07414
PLSCT00000016671	CDD:cd00715,CDD:cd06223
PLSCT00000002678	CDD:cd00046,CDD:cd00079,CDD:cd00204
PLSCT00000001507	CDD:cd00086
PLSCT00000005408	CDD:cd07017
PLSCT00000001258	CDD:cd06071
PLSCT00000006946	CDD:cd14686
PLSCT00000008994	CDD:cd04873
PLSCT00000010759	CDD:cd00009
PLSCT00000016675	CDD:cd02440
PLSCT00000009666	CDD:cd00020
PLSCT00000021337	CDD:cd00079
PLSCT00000014278	CDD:cd07067
PLSCT00000019145	CDD:cd00377
PLSCT00000009921	CDD:cd02196
PLSCT00000003285	CDD:cd00018
PLSCT00000011401	CDD:cd01367
PLSCT00000011241	CDD:cd01076
PLSCT00000019560	CDD:cd00162
PLSCT00000017601	CDD:cd13962
PLSCT00000020748	CDD:cd01335
PLSCT00000001466	CDD:cd11733
PLSCT00000011918	CDD:cd00054
PLSCT00000020283	CDD:cd00275
PLSCT00000021534	CDD:cd03311,CDD:cd03312
PLSCT00000014631	CDD:cd02440
PLSCT00000006769	CDD:cd03139
PLSCT00000000290	CDD:cd00038,CDD:cd00204
PLSCT00000011250	CDD:cd00076
PLSCT00000010817	CDD:cd06167
PLSCT00000011637	CDD:cd12458
PLSCT00000000848	CDD:cd08760
PLSCT00000013860	CDD:cd00200
PLSCT00000007319	CDD:cd00167
PLSCT00000009347	CDD:cd00198,CDD:cd14066
PLSCT00000019178	CDD:cd00320
PLSCT00000017545	CDD:cd07383
PLSCT00000010304	CDD:cd04902
PLSCT00000018240	CDD:cd13155
PLSCT00000021108	CDD:cd06610
PLSCT00000003653	CDD:cd09396
PLSCT00000016595	CDD:cd04301
PLSCT00000001892	CDD:cd00877
PLSCT00000011708	CDD:cd01856
PLSCT00000021518	CDD:cd12885
PLSCT00000018189	CDD:cd07067
PLSCT00000016398	CDD:cd06174
PLSCT00000020379	CDD:cd00143
PLSCT00000001854	CDD:cd07821
PLSCT00000016606	CDD:cd00204
PLSCT00000004710	CDD:cd09487
PLSCT00000012117	CDD:cd06602
PLSCT00000006626	CDD:cd00162
PLSCT00000021628	CDD:cd00473
PLSCT00000021278	CDD:cd07233
PLSCT00000003343	CDD:cd13136
PLSCT00000011139	CDD:cd03044,CDD:cd03181
PLSCT00000011148	CDD:cd05121
PLSCT00000018897	CDD:cd06660
PLSCT00000006888	CDD:cd00030
PLSCT00000017618	CDD:cd03407
PLSCT00000000232	CDD:cd01927
PLSCT00000010237	CDD:cd00773
PLSCT00000005582	CDD:cd00293
PLSCT00000016946	CDD:cd03135
PLSCT00000012100	CDD:cd02970
PLSCT00000013006	CDD:cd01115
PLSCT00000010326	CDD:cd00201
PLSCT00000009388	CDD:cd06661
PLSCT00000016607	CDD:cd00934
PLSCT00000016861	CDD:cd06174
PLSCT00000014955	CDD:cd00143
PLSCT00000001817	CDD:cd07989
PLSCT00000014523	CDD:cd00165
PLSCT00000012513	CDD:cd00130
PLSCT00000002884	CDD:cd00519
PLSCT00000020553	CDD:cd06558
PLSCT00000020579	CDD:cd01769
PLSCT00000011864	CDD:cd14703
PLSCT00000005961	CDD:cd01837
PLSCT00000015210	CDD:cd00186
PLSCT00000005552	CDD:cd08154
PLSCT00000001598	CDD:cd06174
PLSCT00000007317	CDD:cd00009
PLSCT00000007091	CDD:cd05121
PLSCT00000018783	CDD:cd00075,CDD:cd00156
PLSCT00000005798	CDD:cd01428
PLSCT00000006833	CDD:cd00162
PLSCT00000011207	CDD:cd11363
PLSCT00000021304	CDD:cd00200
PLSCT00000003810	CDD:cd01715
PLSCT00000013731	CDD:cd14011
PLSCT00000019553	CDD:cd04301,CDD:cd05509
PLSCT00000003163	CDD:cd00009
PLSCT00000005804	CDD:cd06257,CDD:cd10747
PLSCT00000002164	CDD:cd00609
PLSCT00000006479	CDD:cd00020
PLSCT00000007607	CDD:cd02120
PLSCT00000019951	CDD:cd07397
PLSCT00000012609	CDD:cd07815
PLSCT00000015617	CDD:cd01561
PLSCT00000011663	CDD:cd14702
PLSCT00000007662	CDD:cd00537
PLSCT00000010823	CDD:cd00075
PLSCT00000013196	CDD:cd07895
PLSCT00000006059	CDD:cd06174
PLSCT00000014907	CDD:cd02846,CDD:cd04657
PLSCT00000010915	CDD:cd01742,CDD:cd01997
PLSCT00000016022	CDD:cd00325
PLSCT00000007551	CDD:cd00165
PLSCT00000018841	CDD:cd00009
PLSCT00000004935	CDD:cd03335
PLSCT00000013290	CDD:cd08366
PLSCT00000018768	CDD:cd01867
PLSCT00000015834	CDD:cd08379
PLSCT00000011910	CDD:cd04322
PLSCT00000015455	CDD:cd09254
PLSCT00000016558	CDD:cd00162,CDD:cd03829
PLSCT00000017286	CDD:cd09396
PLSCT00000002631	CDD:cd02440
PLSCT00000001828	CDD:cd02801
PLSCT00000014406	CDD:cd02851
PLSCT00000013563	CDD:cd05015,CDD:cd05016
PLSCT00000001159	CDD:cd03013
PLSCT00000015310	CDD:cd02440
PLSCT00000013270	CDD:cd07979
PLSCT00000001398	CDD:cd06257
PLSCT00000019863	CDD:cd00060,CDD:cd09122
PLSCT00000015539	CDD:cd09612
PLSCT00000004011	CDD:cd03759
PLSCT00000010300	CDD:cd07990
PLSCT00000011378	CDD:cd10017
PLSCT00000020966	CDD:cd00105,CDD:cd02396
PLSCT00000020420	CDD:cd00354
PLSCT00000004863	CDD:cd00179,CDD:cd15848
PLSCT00000001198	CDD:cd00299,CDD:cd00570,CDD:cd12108
PLSCT00000017528	CDD:cd00200
PLSCT00000004585	CDD:cd12671
PLSCT00000001652	CDD:cd00156
PLSCT00000001022	CDD:cd02856,CDD:cd11346
PLSCT00000005544	CDD:cd00083
PLSCT00000015301	CDD:cd03250
PLSCT00000015083	CDD:cd03232,CDD:cd03233
PLSCT00000009461	CDD:cd03225
PLSCT00000011360	CDD:cd04197,CDD:cd05787,CDD:cd11558
PLSCT00000016171	CDD:cd00046,CDD:cd00079
PLSCT00000006828	CDD:cd00009
PLSCT00000011058	CDD:cd00046
PLSCT00000007574	CDD:cd00143
PLSCT00000017552	CDD:cd00371
PLSCT00000008926	CDD:cd04587,CDD:cd06409
PLSCT00000020104	CDD:cd07067
PLSCT00000014509	CDD:cd00165
PLSCT00000001533	CDD:cd05381
PLSCT00000004229	CDD:cd02440
PLSCT00000016273	CDD:cd06467
PLSCT00000004785	CDD:cd01135
PLSCT00000020816	CDD:cd05246
PLSCT00000017706	CDD:cd00085
PLSCT00000010376	CDD:cd06660
PLSCT00000014890	CDD:cd13222
PLSCT00000013100	CDD:cd14066
PLSCT00000005876	CDD:cd03761
PLSCT00000020671	CDD:cd00805
PLSCT00000005942	CDD:cd01167
PLSCT00000006177	CDD:cd00186
PLSCT00000015261	CDD:cd02248
PLSCT00000008954	CDD:cd00878
PLSCT00000009761	CDD:cd00083
PLSCT00000013686	CDD:cd00020
PLSCT00000001181	CDD:cd00449
PLSCT00000019651	CDD:cd01372
PLSCT00000010588	CDD:cd00009
PLSCT00000000772	CDD:cd05833
PLSCT00000016244	CDD:cd05121
PLSCT00000008202	CDD:cd05286
PLSCT00000014899	CDD:cd00412
PLSCT00000007062	CDD:cd00009
PLSCT00000006758	CDD:cd06174
PLSCT00000018625	CDD:cd06551
PLSCT00000014208	CDD:cd00333
PLSCT00000008966	CDD:cd12384
PLSCT00000013376	CDD:cd00201
PLSCT00000004153	CDD:cd00934
PLSCT00000006550	CDD:cd03354
PLSCT00000003508	CDD:cd00086
PLSCT00000015847	CDD:cd01769,CDD:cd14291
PLSCT00000017755	CDD:cd04727
PLSCT00000009945	CDD:cd01878
PLSCT00000016934	CDD:cd00207
PLSCT00000014216	CDD:cd14281
PLSCT00000020507	CDD:cd12153
PLSCT00000010521	CDD:cd12151
PLSCT00000015204	CDD:cd02440
PLSCT00000005445	CDD:cd08066
PLSCT00000007902	CDD:cd01769
PLSCT00000019937	CDD:cd00030
PLSCT00000001802	CDD:cd00162
PLSCT00000001991	CDD:cd00204
PLSCT00000007277	CDD:cd00693
PLSCT00000012529	CDD:cd03244,CDD:cd03250
PLSCT00000020603	CDD:cd00046
PLSCT00000010046	CDD:cd14066
PLSCT00000006166	CDD:cd00170
PLSCT00000016584	CDD:cd01427
PLSCT00000004615	CDD:cd00186,CDD:cd03363
PLSCT00000010698	CDD:cd10809
PLSCT00000000957	CDD:cd03334
PLSCT00000004332	CDD:cd03243
PLSCT00000010164	CDD:cd00046
PLSCT00000003148	CDD:cd03048
PLSCT00000010044	CDD:cd06610
PLSCT00000014872	CDD:cd15481
PLSCT00000003069	CDD:cd01427
PLSCT00000013697	CDD:cd06257
PLSCT00000012447	CDD:cd01721
PLSCT00000000864	CDD:cd02869
PLSCT00000018698	CDD:cd00051
PLSCT00000000819	CDD:cd13132
PLSCT00000005466	CDD:cd06257
PLSCT00000001383	CDD:cd06174
PLSCT00000018848	CDD:cd00162
PLSCT00000011844	CDD:cd08378
PLSCT00000019816	CDD:cd05927
PLSCT00000019422	CDD:cd00075,CDD:cd00082,CDD:cd00156
PLSCT00000004208	CDD:cd06090
PLSCT00000005983	CDD:cd00201
PLSCT00000021386	CDD:cd15457
PLSCT00000012166	CDD:cd00046,CDD:cd00079
PLSCT00000004719	CDD:cd00020
PLSCT00000010865	CDD:cd01167
PLSCT00000012933	CDD:cd00077,CDD:cd01668,CDD:cd05399
PLSCT00000009812	CDD:cd06467
PLSCT00000010452	CDD:cd04051
PLSCT00000008754	CDD:cd06174
PLSCT00000013005	CDD:cd03249
PLSCT00000006973	CDD:cd00204
PLSCT00000020224	CDD:cd02856,CDD:cd11326
PLSCT00000011219	CDD:cd01561
PLSCT00000011319	CDD:cd05476
PLSCT00000007909	CDD:cd04301
PLSCT00000020880	CDD:cd00170
PLSCT00000002814	CDD:cd02620
PLSCT00000013709	CDD:cd06174
PLSCT00000005663	CDD:cd00051
PLSCT00000007387	CDD:cd00020,CDD:cd07211
PLSCT00000001168	CDD:cd03691,CDD:cd03710
PLSCT00000005336	CDD:cd14707
PLSCT00000016915	CDD:cd08972
PLSCT00000010622	CDD:cd00046
PLSCT00000017143	CDD:cd01335
PLSCT00000012980	CDD:cd00143
PLSCT00000007992	CDD:cd00024,CDD:cd00046,CDD:cd00079
PLSCT00000014022	CDD:cd01518
PLSCT00000008534	CDD:cd12087
PLSCT00000020332	CDD:cd00167
PLSCT00000008685	CDD:cd01748
PLSCT00000012050	CDD:cd06660
PLSCT00000011738	CDD:cd00009
PLSCT00000021302	CDD:cd04645
PLSCT00000006003	CDD:cd00771
PLSCT00000009234	CDD:cd00593
PLSCT00000005568	CDD:cd00513
PLSCT00000000332	CDD:cd01080
PLSCT00000002437	CDD:cd01657
PLSCT00000007948	CDD:cd06850
PLSCT00000010562	CDD:cd08063
PLSCT00000019775	CDD:cd00429
PLSCT00000001080	CDD:cd00162
PLSCT00000002644	CDD:cd01359
PLSCT00000002241	CDD:cd00179,CDD:cd15848
PLSCT00000001675	CDD:cd02440
PLSCT00000006408	CDD:cd02440
PLSCT00000004884	CDD:cd01427
PLSCT00000017428	CDD:cd06174
PLSCT00000019383	CDD:cd00009
PLSCT00000021583	CDD:cd00200
PLSCT00000018144	CDD:cd00051
PLSCT00000009755	CDD:cd00083
PLSCT00000011646	CDD:cd01887
PLSCT00000008550	CDD:cd04051
PLSCT00000018891	CDD:cd02205
PLSCT00000013358	CDD:cd01717
PLSCT00000009710	CDD:cd00204,CDD:cd06606
PLSCT00000002471	CDD:cd01173
PLSCT00000009424	CDD:cd12524,CDD:cd12529,CDD:cd12531
PLSCT00000020046	CDD:cd07036
PLSCT00000001400	CDD:cd11314
PLSCT00000004392	CDD:cd09034
PLSCT00000016788	CDD:cd03791
PLSCT00000017577	CDD:cd02947
PLSCT00000015758	CDD:cd00079,CDD:cd00268
PLSCT00000020771	CDD:cd00392
PLSCT00000015685	CDD:cd00079
PLSCT00000002897	CDD:cd00200
PLSCT00000000702	CDD:cd00046,CDD:cd00079
PLSCT00000011372	CDD:cd00009
PLSCT00000021082	CDD:cd00009
PLSCT00000003672	CDD:cd11289,CDD:cd11290,CDD:cd11292
PLSCT00000011064	CDD:cd06627
PLSCT00000002469	CDD:cd01173
PLSCT00000004416	CDD:cd01743
PLSCT00000015752	CDD:cd00075,CDD:cd00082
PLSCT00000013155	CDD:cd00083
PLSCT00000011018	CDD:cd15504
PLSCT00000006275	CDD:cd01049
PLSCT00000000816	CDD:cd01727
PLSCT00000021473	CDD:cd00162
PLSCT00000011969	CDD:cd02440
PLSCT00000005913	CDD:cd02440
PLSCT00000019983	CDD:cd06366
PLSCT00000000708	CDD:cd12505,CDD:cd12508
PLSCT00000013009	CDD:cd01803
PLSCT00000006454	CDD:cd00030
PLSCT00000017660	CDD:cd12280
PLSCT00000012281	CDD:cd05372
PLSCT00000017102	CDD:cd02395
PLSCT00000002405	CDD:cd00162
PLSCT00000012293	CDD:cd07859
PLSCT00000011713	CDD:cd12212
PLSCT00000004655	CDD:cd01427
PLSCT00000021604	CDD:cd12686
PLSCT00000010959	CDD:cd04301
PLSCT00000015424	CDD:cd00020
PLSCT00000013627	CDD:cd14066
PLSCT00000020128	CDD:cd00038
PLSCT00000003797	CDD:cd06661
PLSCT00000006056	CDD:cd00198
PLSCT00000001051	CDD:cd05402
PLSCT00000020614	CDD:cd01417
PLSCT00000010060	CDD:cd00947
PLSCT00000012622	CDD:cd00204
PLSCT00000010201	CDD:cd00051
PLSCT00000001193	CDD:cd06257
PLSCT00000008624	CDD:cd03277
PLSCT00000004196	CDD:cd00405
PLSCT00000019913	CDD:cd01898
PLSCT00000014474	CDD:cd00078
PLSCT00000003350	CDD:cd11299
PLSCT00000018377	CDD:cd02037
PLSCT00000005241	CDD:cd01926
PLSCT00000013781	CDD:cd02023
PLSCT00000021594	CDD:cd15504
PLSCT00000018929	CDD:cd07812
PLSCT00000012865	CDD:cd04701
PLSCT00000011361	CDD:cd04197,CDD:cd05787
PLSCT00000009277	CDD:cd05904
PLSCT00000010664	CDD:cd05117
PLSCT00000004625	CDD:cd00333
PLSCT00000003106	CDD:cd09876
PLSCT00000017467	CDD:cd00009
PLSCT00000008688	CDD:cd00162
PLSCT00000019613	CDD:cd00083
PLSCT00000017242	CDD:cd01740,CDD:cd02204
PLSCT00000015505	CDD:cd06174
PLSCT00000011451	CDD:cd05154
PLSCT00000001199	CDD:cd06174
PLSCT00000011325	CDD:cd00051,CDD:cd00063
PLSCT00000004995	CDD:cd00392
PLSCT00000011382	CDD:cd00018,CDD:cd10017
PLSCT00000018204	CDD:cd00079,CDD:cd00268
PLSCT00000012224	CDD:cd03762
PLSCT00000015162	CDD:cd06467
PLSCT00000013201	CDD:cd11660
PLSCT00000002295	CDD:cd01400
PLSCT00000001122	CDD:cd03274
PLSCT00000007046	CDD:cd06186
PLSCT00000012097	CDD:cd06174
PLSCT00000020833	CDD:cd12383
PLSCT00000008844	CDD:cd00075
PLSCT00000020914	CDD:cd12680
PLSCT00000019623	CDD:cd00204,CDD:cd14821
PLSCT00000011997	CDD:cd15862
PLSCT00000008940	CDD:cd07032
PLSCT00000019084	CDD:cd02440
PLSCT00000013992	CDD:cd00021
PLSCT00000010916	CDD:cd14131
PLSCT00000002092	CDD:cd03249
PLSCT00000014285	CDD:cd15517
PLSCT00000001365	CDD:cd00613
PLSCT00000008104	CDD:cd00775,CDD:cd04322
PLSCT00000019668	CDD:cd00086
PLSCT00000018574	CDD:cd00009
PLSCT00000019201	CDD:cd00167,CDD:cd02336
PLSCT00000010975	CDD:cd01168
PLSCT00000014392	CDD:cd01812
PLSCT00000014852	CDD:cd04301
PLSCT00000006204	CDD:cd00170
PLSCT00000019792	CDD:cd04730
PLSCT00000006218	CDD:cd14066
PLSCT00000008180	CDD:cd12365
PLSCT00000005636	CDD:cd00075
PLSCT00000004124	CDD:cd04219
PLSCT00000011112	CDD:cd02854,CDD:cd11321
PLSCT00000015277	CDD:cd00148
PLSCT00000013635	CDD:cd06849
PLSCT00000003969	CDD:cd01076
PLSCT00000018596	CDD:cd03416
PLSCT00000004804	CDD:cd00177,CDD:cd00821
PLSCT00000012629	CDD:cd00204
PLSCT00000018264	CDD:cd12241
PLSCT00000001173	CDD:cd07038
PLSCT00000008782	CDD:cd13986
PLSCT00000015875	CDD:cd06660
PLSCT00000014343	CDD:cd04794
PLSCT00000002990	CDD:cd06530
PLSCT00000010106	CDD:cd00463
PLSCT00000009633	CDD:cd00195
PLSCT00000006624	CDD:cd01427
PLSCT00000012311	CDD:cd07987
PLSCT00000009159	CDD:cd01998
PLSCT00000007749	CDD:cd04724
PLSCT00000009993	CDD:cd00009,CDD:cd02678
PLSCT00000017475	CDD:cd00590
PLSCT00000016236	CDD:cd00527
PLSCT00000012331	CDD:cd01335
PLSCT00000006502	CDD:cd00043
PLSCT00000006379	CDD:cd00158
PLSCT00000014626	CDD:cd12257
PLSCT00000002566	CDD:cd07067
PLSCT00000000339	CDD:cd06660
PLSCT00000010749	CDD:cd05243
PLSCT00000009925	CDD:cd08866
PLSCT00000017045	CDD:cd01283
PLSCT00000013829	CDD:cd06859
PLSCT00000013931	CDD:cd08267
PLSCT00000007355	CDD:cd03217
PLSCT00000002094	CDD:cd04187
PLSCT00000010390	CDD:cd01427
PLSCT00000016238	CDD:cd00052,CDD:cd09913
PLSCT00000020301	CDD:cd00130
PLSCT00000021586	CDD:cd00349
PLSCT00000013883	CDD:cd01803
PLSCT00000002522	CDD:cd00332
PLSCT00000000913	CDD:cd06660
PLSCT00000021431	CDD:cd00432
PLSCT00000005864	CDD:cd01720
PLSCT00000017767	CDD:cd00209,CDD:cd00351
PLSCT00000004594	CDD:cd04897,CDD:cd04926
PLSCT00000008177	CDD:cd04301
PLSCT00000005705	CDD:cd06558
PLSCT00000005932	CDD:cd00118
PLSCT00000008746	CDD:cd00051,CDD:cd05399
PLSCT00000006377	CDD:cd07224
PLSCT00000002494	CDD:cd00048
PLSCT00000003718	CDD:cd00028
PLSCT00000012591	CDD:cd00162
PLSCT00000018509	CDD:cd00730
PLSCT00000008140	CDD:cd07033
PLSCT00000003886	CDD:cd00195
PLSCT00000002366	CDD:cd12203
PLSCT00000015519	CDD:cd00170
PLSCT00000010519	CDD:cd02576
PLSCT00000021352	CDD:cd07821
PLSCT00000006750	CDD:cd02961,CDD:cd02981,CDD:cd02982,CDD:cd02995
PLSCT00000004590	CDD:cd00165
PLSCT00000009786	CDD:cd00077
PLSCT00000004351	CDD:cd00021
PLSCT00000021430	CDD:cd02947
PLSCT00000016722	CDD:cd00371
PLSCT00000019119	CDD:cd03169
PLSCT00000015912	CDD:cd00043
PLSCT00000016775	CDD:cd00046
PLSCT00000009412	CDD:cd08760,CDD:cd09631
PLSCT00000014959	CDD:cd03564
PLSCT00000001392	CDD:cd03263
PLSCT00000002026	CDD:cd06089
PLSCT00000005431	CDD:cd07017
PLSCT00000010325	CDD:cd00201
PLSCT00000003160	CDD:cd06899,CDD:cd14066
PLSCT00000021323	CDD:cd00046
PLSCT00000001083	CDD:cd00076
PLSCT00000002887	CDD:cd00075,CDD:cd00823
PLSCT00000017848	CDD:cd00873
PLSCT00000011784	CDD:cd00079
PLSCT00000008043	CDD:cd06660
PLSCT00000000870	CDD:cd00200
PLSCT00000016437	CDD:cd00093
PLSCT00000008334	CDD:cd00066
PLSCT00000003839	CDD:cd02440
PLSCT00000018636	CDD:cd00020
PLSCT00000014227	CDD:cd09991
PLSCT00000003055	CDD:cd03357
PLSCT00000002465	CDD:cd00079
PLSCT00000012879	CDD:cd02980
PLSCT00000011232	CDD:cd00501
PLSCT00000002580	CDD:cd05533,CDD:cd05777
PLSCT00000016923	CDD:cd00693
PLSCT00000014539	CDD:cd00046,CDD:cd00079,CDD:cd04369
PLSCT00000018307	CDD:cd06144
PLSCT00000021048	CDD:cd10150
PLSCT00000018022	CDD:cd12408,CDD:cd12933
PLSCT00000008673	CDD:cd02885
PLSCT00000008770	CDD:cd00020
PLSCT00000005072	CDD:cd00018
PLSCT00000014357	CDD:cd02508,CDD:cd04651
PLSCT00000001150	CDD:cd11567
PLSCT00000000937	CDD:cd00831
PLSCT00000002588	CDD:cd06558
PLSCT00000014911	CDD:cd00377
PLSCT00000007079	CDD:cd00778,CDD:cd00862
PLSCT00000003101	CDD:cd04465,CDD:cd05692
PLSCT00000018337	CDD:cd01721
PLSCT00000003446	CDD:cd00079,CDD:cd00268
PLSCT00000004267	CDD:cd00009
PLSCT00000013506	CDD:cd05283
PLSCT00000000709	CDD:cd12505,CDD:cd12508
PLSCT00000021324	CDD:cd00009
PLSCT00000020710	CDD:cd06429
PLSCT00000003313	CDD:cd06174
PLSCT00000010674	CDD:cd00609
PLSCT00000005092	CDD:cd05168
PLSCT00000021094	CDD:cd15571
PLSCT00000013219	CDD:cd05476
PLSCT00000007094	CDD:cd00027
PLSCT00000006211	CDD:cd00009
PLSCT00000012934	CDD:cd00077
PLSCT00000013375	CDD:cd00201
PLSCT00000007340	CDD:cd06223
PLSCT00000021353	CDD:cd03505
PLSCT00000019337	CDD:cd12325
PLSCT00000015683	CDD:cd01854
PLSCT00000003030	CDD:cd01893
PLSCT00000016776	CDD:cd00046
PLSCT00000017020	CDD:cd04452
PLSCT00000011306	CDD:cd08267
PLSCT00000010051	CDD:cd00143
PLSCT00000012487	CDD:cd00683
PLSCT00000018302	CDD:cd05793
PLSCT00000019829	CDD:cd08829
PLSCT00000020882	CDD:cd02248
PLSCT00000001127	CDD:cd00200
PLSCT00000011990	CDD:cd08768
PLSCT00000008386	CDD:cd00021
PLSCT00000018115	CDD:cd00204
PLSCT00000016706	CDD:cd00143
