PLSCT00000016654	GO:0004609,GO:0008654
PLSCT00000003857	GO:0004519,GO:0016887,GO:0030983,GO:0045910,GO:0005524,GO:0006298,GO:0030983
PLSCT00000007276	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468
PLSCT00000006930	GO:0008168
PLSCT00000016833	GO:0003824,GO:0004553,GO:0005975
PLSCT00000011140	GO:0000155,GO:0000160,GO:0004672,GO:0005524,GO:0006468,GO:0005524
PLSCT00000008739	GO:0009765,GO:0016020
PLSCT00000010294	GO:0004061,GO:0019441
PLSCT00000018686	GO:0005515
PLSCT00000018048	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0005509,GO:0005524
PLSCT00000021238	GO:0006662,GO:0015035,GO:0045454,GO:0045454
PLSCT00000004148	GO:0008641
PLSCT00000003773	GO:0016491
PLSCT00000021067	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0005524
PLSCT00000005364	GO:0046872
PLSCT00000001508	GO:0008152,GO:0016757
PLSCT00000001213	GO:0016491,GO:0020037,GO:0051536,GO:0055114,GO:0016491,GO:0055114
PLSCT00000008731	GO:0016021
PLSCT00000016335	GO:0006812,GO:0015299,GO:0016021,GO:0055085
PLSCT00000014430	GO:0005515
PLSCT00000010841	GO:0008270
PLSCT00000009311	GO:0006810,GO:0043190
PLSCT00000013954	GO:0006511,GO:0031625
PLSCT00000007020	GO:0003824,GO:0008152
PLSCT00000016721	GO:0005515
PLSCT00000013330	GO:0004151,GO:0019856
PLSCT00000012263	GO:0003676,GO:0046872
PLSCT00000004190	GO:0006486,GO:0008373
PLSCT00000014459	GO:0000796,GO:0007076
PLSCT00000007397	GO:0005524,GO:0016887,GO:0016020
PLSCT00000009305	GO:0003824,GO:0008152
PLSCT00000017730	GO:0000166,GO:0003676
PLSCT00000007137	GO:0003777,GO:0005524,GO:0007018,GO:0003777,GO:0005524,GO:0007018,GO:0008017,GO:0003777,GO:0007018
PLSCT00000009029	GO:0005524,GO:0005524,GO:0005737,GO:0008152,GO:0016301,GO:0016773,GO:0016772
PLSCT00000005622	GO:0003676,GO:0003677,GO:0046983
PLSCT00000018162	GO:0005215,GO:0006810,GO:0016020,GO:0055085,GO:0015204,GO:0016021,GO:0071918
PLSCT00000017623	GO:0016788
PLSCT00000006746	GO:0006644,GO:0008170
PLSCT00000015271	GO:0006511
PLSCT00000017099	GO:0009058,GO:0016740
PLSCT00000014233	GO:0005515
PLSCT00000011890	GO:0006396,GO:0008173
PLSCT00000008207	GO:0008152,GO:0016787
PLSCT00000000220	GO:0008519,GO:0015696,GO:0016020,GO:0008519,GO:0016020,GO:0072488
PLSCT00000014105	GO:0003824,GO:0003824,GO:0051536,GO:0005737,GO:0006364,GO:0008173,GO:0030488,GO:0070475
PLSCT00000014712	GO:0006281
PLSCT00000010657	GO:0003735,GO:0005622,GO:0005840,GO:0006412
PLSCT00000019451	GO:0004601,GO:0006979,GO:0020037,GO:0055114,GO:0004601,GO:0055114
PLSCT00000020573	GO:0005515
PLSCT00000005933	GO:0003677
PLSCT00000007254	GO:0005525,GO:0005525,GO:0007264
PLSCT00000009796	GO:0003676,GO:0005524,GO:0003723,GO:0003724,GO:0006401
PLSCT00000004581	GO:0000166,GO:0003676
PLSCT00000003705	GO:0016651,GO:0022900
PLSCT00000012069	GO:0016307,GO:0046488
PLSCT00000011633	GO:0004672,GO:0005524,GO:0006468,GO:0005524
PLSCT00000008042	GO:0016491,GO:0055114
PLSCT00000001636	GO:0000381,GO:0005634,GO:0080009,GO:0005634,GO:0080009
PLSCT00000019411	GO:0000166
PLSCT00000004119	GO:0005506,GO:0016705,GO:0020037,GO:0055114,GO:0016705,GO:0055114
PLSCT00000014983	GO:0016491,GO:0055114
PLSCT00000001590	GO:0004392,GO:0006788,GO:0055114
PLSCT00000021595	GO:0005515
PLSCT00000019070	GO:0006777
PLSCT00000020394	GO:0004252,GO:0006508
PLSCT00000019825	GO:0032324
PLSCT00000002875	GO:0005506,GO:0016705,GO:0031418,GO:0055114,GO:0016491,GO:0055114
PLSCT00000018830	GO:0010181,GO:0016491,GO:0055114
PLSCT00000020920	GO:0006520,GO:0016597,GO:0016743,GO:0006520,GO:0016743,GO:0016743
PLSCT00000014927	GO:0016491,GO:0050660,GO:0055114,GO:0016491,GO:0055114,GO:0045454,GO:0055114
PLSCT00000000871	GO:0005198,GO:0006886,GO:0016192,GO:0030117
PLSCT00000006212	GO:0003677
PLSCT00000006892	GO:0005634,GO:0006338
PLSCT00000006771	GO:0005672,GO:0006367
PLSCT00000001430	GO:0003868,GO:0009072,GO:0016701,GO:0055114
PLSCT00000015168	GO:0016020,GO:0030001,GO:0046873,GO:0055085
PLSCT00000018842	GO:0003735,GO:0005622,GO:0005840,GO:0006412
PLSCT00000005786	GO:0003735,GO:0005840,GO:0006412
PLSCT00000021512	GO:0005198,GO:0019028,GO:0019028,GO:0046718,GO:0019048
PLSCT00000008854	GO:0000166,GO:0003676
PLSCT00000007164	GO:0000166,GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0003735,GO:0005840,GO:0006412
PLSCT00000015494	GO:0000287,GO:0005524,GO:0005622,GO:0032957,GO:0047325,GO:0052725,GO:0052726
PLSCT00000009078	GO:0005643,GO:0016973
PLSCT00000015708	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0004713,GO:0006468
PLSCT00000011167	GO:0030145,GO:0045735
PLSCT00000010805	GO:0016020,GO:0016628,GO:0055114
PLSCT00000012778	GO:0009733
PLSCT00000005253	GO:0000902,GO:0003779,GO:0007010
PLSCT00000014211	GO:0005515
PLSCT00000005877	GO:0004175,GO:0005839,GO:0051603,GO:0004298,GO:0004298,GO:0005839,GO:0051603
PLSCT00000004127	GO:0005515
PLSCT00000012128	GO:0005488,GO:0005515,GO:0031929,GO:0031931
PLSCT00000012114	GO:0005524
PLSCT00000017691	GO:0009626
PLSCT00000001522	GO:0000786,GO:0003677,GO:0005634,GO:0003677,GO:0046982
PLSCT00000013251	GO:0008270
PLSCT00000015296	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468
PLSCT00000015307	GO:0005515
PLSCT00000011073	GO:0005737,GO:0006364,GO:0008173
PLSCT00000002170	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0005515
PLSCT00000008441	GO:0016798
PLSCT00000011606	GO:0031072,GO:0051082
PLSCT00000017605	GO:0006810,GO:0006886,GO:0016192,GO:0030131
PLSCT00000021507	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468
PLSCT00000017670	GO:0005515
PLSCT00000006596	GO:0003824,GO:0008152
PLSCT00000008709	GO:0003677,GO:0006368,GO:0016570,GO:0016593
PLSCT00000008304	GO:0005515,GO:0006355,GO:0016570,GO:0016593
PLSCT00000009114	GO:0003824,GO:0003864,GO:0015940
PLSCT00000011354	GO:0016021,GO:0055085
PLSCT00000018340	GO:0000398,GO:0005681
PLSCT00000010282	GO:0004040
PLSCT00000007808	GO:0004601,GO:0006979,GO:0020037,GO:0055114
PLSCT00000010961	GO:0005515
PLSCT00000019591	GO:0005515
PLSCT00000003377	GO:0000166
PLSCT00000006503	GO:0000079,GO:0006355,GO:0019901
PLSCT00000009024	GO:0016579,GO:0016787
PLSCT00000015208	GO:0003824,GO:0030170
PLSCT00000002793	GO:0005524,GO:0006298,GO:0030983
PLSCT00000020500	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0005509,GO:0005524
PLSCT00000019279	GO:0005515
PLSCT00000008113	GO:0005524,GO:0010264,GO:0019140
PLSCT00000005526	GO:0004601,GO:0006979,GO:0020037,GO:0055114,GO:0004601,GO:0042744,GO:0004601,GO:0055114
PLSCT00000005626	GO:0016021
PLSCT00000001052	GO:0016779
PLSCT00000004462	GO:0003723,GO:0033897
PLSCT00000000792	GO:0004650,GO:0005975
PLSCT00000016504	GO:0016020,GO:0016760,GO:0030244
PLSCT00000018643	GO:0000166,GO:0000398,GO:0017069,GO:0003676
PLSCT00000001927	GO:0005509
PLSCT00000017781	GO:0003824,GO:0016614,GO:0050660,GO:0055114,GO:0003824,GO:0050660,GO:0055114,GO:0008762,GO:0055114,GO:0016491,GO:0050660,GO:0055114,GO:0050660
PLSCT00000001313	GO:0008270
PLSCT00000006036	GO:0003995,GO:0055114,GO:0016627,GO:0055114
PLSCT00000021203	GO:0008080
PLSCT00000019442	GO:0005506,GO:0016226,GO:0051536
PLSCT00000014204	GO:0006807,GO:0016810
PLSCT00000015207	GO:0005634,GO:0006260
PLSCT00000015922	GO:0003824,GO:0004553,GO:0005975
PLSCT00000002441	GO:0006629,GO:0006629,GO:0016021,GO:0016491
PLSCT00000007700	GO:0003677,GO:0003700,GO:0006352,GO:0006355,GO:0016987
PLSCT00000012041	GO:0004672,GO:0006468
PLSCT00000008340	GO:0003676
PLSCT00000017344	GO:0005524,GO:0016887,GO:0043190,GO:0055085
PLSCT00000009704	GO:0005488
PLSCT00000014645	GO:0005488,GO:0006886,GO:0006886,GO:0008536
PLSCT00000000459	GO:0003824
PLSCT00000009014	GO:0003676,GO:0008270,GO:0016818,GO:0004518,GO:0036297
PLSCT00000006802	GO:0016442,GO:0031047
PLSCT00000007619	GO:0004571,GO:0005509,GO:0016020
PLSCT00000021330	GO:0005515
PLSCT00000020978	GO:0006810,GO:0016021
PLSCT00000003919	GO:0000166,GO:0000166,GO:0046872,GO:0000287,GO:0004012,GO:0005524,GO:0015914,GO:0016021,GO:0016021
PLSCT00000002285	GO:0003676,GO:0006351,GO:0008270,GO:0006351,GO:0006379
PLSCT00000004187	GO:0000155,GO:0000160
PLSCT00000011928	GO:0003955,GO:0010181,GO:0016491
PLSCT00000021600	GO:0005524
PLSCT00000000612	GO:0005515
PLSCT00000001569	GO:0003924,GO:0005525,GO:0005525
PLSCT00000019240	GO:0005515
PLSCT00000013624	GO:0008168
PLSCT00000020539	GO:0003824
PLSCT00000008121	GO:0004553,GO:0005975,GO:0005975
PLSCT00000016077	GO:0005515,GO:0005515,GO:0008270
PLSCT00000012539	GO:0000413,GO:0003755,GO:0006457
PLSCT00000007030	GO:0008168
PLSCT00000019930	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468
PLSCT00000019351	GO:0003723
PLSCT00000013959	GO:0031047
PLSCT00000003974	GO:0003824,GO:0008152,GO:0004334,GO:0009072
PLSCT00000000715	GO:0005515
PLSCT00000013448	GO:0043531
PLSCT00000001463	GO:0000387,GO:0000398,GO:0005685,GO:0003676,GO:0005634,GO:0008270,GO:0003676,GO:0008270,GO:0008270
PLSCT00000001976	GO:0016567
PLSCT00000018582	GO:0003777,GO:0005524,GO:0007018,GO:0003777,GO:0005524,GO:0007018,GO:0008017,GO:0003777,GO:0007018
PLSCT00000012656	GO:0005975,GO:0016773
PLSCT00000021526	GO:0003743,GO:0003743,GO:0006413
PLSCT00000006001	GO:0003333,GO:0015171,GO:0016020
PLSCT00000001320	GO:0008289
PLSCT00000019689	GO:0005515
PLSCT00000007514	GO:0003677,GO:0003678,GO:0005524,GO:0005634,GO:0006270,GO:0042555,GO:0003677,GO:0005524,GO:0006260
PLSCT00000013854	GO:0005515,GO:0005634,GO:0008270,GO:0018024,GO:0034968,GO:0042393
PLSCT00000014502	GO:0004185,GO:0006508
PLSCT00000007069	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0005515
PLSCT00000002691	GO:0000166,GO:0004812,GO:0005524,GO:0006418,GO:0000166,GO:0004830,GO:0005524,GO:0005737,GO:0006436
PLSCT00000017522	GO:0005515
PLSCT00000001973	GO:0005978,GO:0008878,GO:0009058,GO:0016779
PLSCT00000015033	GO:0003676,GO:0005524
PLSCT00000000433	GO:0003924,GO:0005525,GO:0005525
PLSCT00000014597	GO:0005488,GO:0005515
PLSCT00000013207	GO:0006629,GO:0008374
PLSCT00000002203	GO:0003677,GO:0003677,GO:0005634,GO:0008270
PLSCT00000013010	GO:0005515
PLSCT00000008122	GO:0004553,GO:0005975,GO:0005975
PLSCT00000017421	GO:0000786,GO:0003677,GO:0005634,GO:0006334,GO:0000786,GO:0003677,GO:0006334
PLSCT00000003764	GO:0003824,GO:0016831,GO:0019752,GO:0030170
PLSCT00000002979	GO:0070403
PLSCT00000005099	GO:0005524,GO:0016887
PLSCT00000001059	GO:0005985,GO:0016157
PLSCT00000005250	GO:0004725
PLSCT00000000274	GO:0005216,GO:0055085,GO:0005247,GO:0006821,GO:0016020,GO:0055085
PLSCT00000018378	GO:0005524
PLSCT00000016772	GO:0005515
PLSCT00000013282	GO:0003714,GO:0006351
PLSCT00000021055	GO:0008270,GO:0016491,GO:0055114,GO:0055114
PLSCT00000003112	GO:0006891,GO:0017119
PLSCT00000015054	GO:0005634,GO:0051726,GO:0006351,GO:0007049,GO:0006357,GO:0051726
PLSCT00000020558	GO:0003777,GO:0005524,GO:0007018,GO:0003777,GO:0005524,GO:0007018,GO:0008017,GO:0003777,GO:0007018
PLSCT00000000246	GO:0003955,GO:0010181,GO:0010181,GO:0016491
PLSCT00000008058	GO:0005488,GO:0005515,GO:0006886,GO:0006886,GO:0008536
PLSCT00000019231	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468
PLSCT00000002714	GO:0006482,GO:0052689
PLSCT00000001848	GO:0006952,GO:0016021
PLSCT00000004053	GO:0005506,GO:0016705,GO:0020037,GO:0055114,GO:0016705,GO:0055114
PLSCT00000002968	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0005524
PLSCT00000006949	GO:0016788
PLSCT00000005641	GO:0005515
PLSCT00000005587	GO:0003824,GO:0005737,GO:0006559,GO:0016841
PLSCT00000007978	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0004674
PLSCT00000013640	GO:0003924,GO:0005525,GO:0005525
PLSCT00000000467	GO:0006886,GO:0016192,GO:0030131
PLSCT00000012848	GO:0005515
PLSCT00000001922	GO:0000723,GO:0043047
PLSCT00000004047	GO:0003677,GO:0003684,GO:0005634,GO:0006289
PLSCT00000020946	GO:0000786,GO:0003677,GO:0005634,GO:0006334,GO:0000786,GO:0003677,GO:0006334
PLSCT00000006117	GO:0005488
PLSCT00000010686	GO:0003824,GO:0009058,GO:0030170
PLSCT00000007110	GO:0003676,GO:0005524
PLSCT00000002561	GO:0003824,GO:0005737,GO:0006559,GO:0016841,GO:0016841
PLSCT00000008761	GO:0006950
PLSCT00000005627	GO:0000145,GO:0006887,GO:0005737,GO:0006887,GO:0048278
PLSCT00000000251	GO:0005515
PLSCT00000009137	GO:0004843,GO:0006511,GO:0036459,GO:0016579,GO:0036459
PLSCT00000010920	GO:0004185,GO:0006508
PLSCT00000020803	GO:0005618,GO:0030599,GO:0042545
PLSCT00000018566	GO:0000155,GO:0000160
PLSCT00000008747	GO:0005509,GO:0015969
PLSCT00000012233	GO:0005643
PLSCT00000016799	GO:0005737,GO:0006629,GO:0016021,GO:0016627
PLSCT00000011722	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468
PLSCT00000006560	GO:0000160,GO:0003677
PLSCT00000002262	GO:0005576,GO:0005576,GO:0019953
PLSCT00000001164	GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0003735,GO:0005840,GO:0006412,GO:0019843
PLSCT00000018021	GO:0000166,GO:0003676,GO:0003743,GO:0005737,GO:0005852
PLSCT00000003278	GO:0008137,GO:0009055,GO:0016020
PLSCT00000002266	GO:0000184,GO:0003677,GO:0004386,GO:0005524,GO:0005737,GO:0008270
PLSCT00000017267	GO:0003743,GO:0005737,GO:0005852
PLSCT00000012020	GO:0005515,GO:0006396
PLSCT00000009387	GO:0005576,GO:0009664
PLSCT00000012121	GO:0003677
PLSCT00000004014	GO:0003677,GO:0006355
PLSCT00000006942	GO:0003824,GO:0008152,GO:0005789,GO:0006506,GO:0016740,GO:0008152,GO:0008484
PLSCT00000015588	GO:0005515
PLSCT00000007188	GO:0003824,GO:0008299,GO:0008299,GO:0050518
PLSCT00000020797	GO:0006464
PLSCT00000013023	GO:0005856,GO:0030036
PLSCT00000003852	GO:0008152,GO:0016787
PLSCT00000001125	GO:0008270,GO:0016491,GO:0055114,GO:0016491,GO:0055114
PLSCT00000019471	GO:0005737,GO:0034227
PLSCT00000009438	GO:0005488
PLSCT00000019514	GO:0016787
PLSCT00000011575	GO:0045454
PLSCT00000005594	GO:0008641
PLSCT00000004642	GO:0005515
PLSCT00000018118	GO:0005524,GO:0019538
PLSCT00000017560	GO:0003824,GO:0008152,GO:0003824,GO:0046872
PLSCT00000019082	GO:0006886,GO:0006888,GO:0008270,GO:0030127,GO:0006886,GO:0006888,GO:0030127
PLSCT00000016043	GO:0016020
PLSCT00000010107	GO:0005524,GO:0006810,GO:0016021,GO:0042626,GO:0055085,GO:0005524,GO:0016887
PLSCT00000010982	GO:0000166,GO:0004820,GO:0005524,GO:0005737,GO:0006426
PLSCT00000016393	GO:0005515,GO:0008270,GO:0008270
PLSCT00000012911	GO:0005315,GO:0006817,GO:0016021,GO:0016021,GO:0022857,GO:0055085
PLSCT00000015469	GO:0003824,GO:0008483,GO:0030170
PLSCT00000002461	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468
PLSCT00000016679	GO:0005515
PLSCT00000000948	GO:0016491,GO:0055114
PLSCT00000011355	GO:0016021,GO:0055085
PLSCT00000015203	GO:0005515
PLSCT00000007014	GO:0003677,GO:0003700,GO:0006355
PLSCT00000005314	GO:0005488
PLSCT00000006564	GO:0004842,GO:0005488,GO:0005515
PLSCT00000001429	GO:0006662,GO:0015035,GO:0045454,GO:0045454
PLSCT00000018764	GO:0004751,GO:0009052
PLSCT00000011266	GO:0016788
PLSCT00000001049	GO:0016779
PLSCT00000020697	GO:0005634,GO:0042254
PLSCT00000020700	GO:0005524
PLSCT00000013895	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468
PLSCT00000019733	GO:0000159,GO:0005515
PLSCT00000007631	GO:0005198,GO:0006886,GO:0016192,GO:0030130,GO:0030132,GO:0005488,GO:0005515,GO:0006886,GO:0016192
PLSCT00000005158	GO:0005515
PLSCT00000004556	GO:0000160,GO:0016310,GO:0016772
PLSCT00000014446	GO:0016233,GO:0043047,GO:1990879
PLSCT00000007449	GO:0005215,GO:0016021,GO:0055085,GO:0016021,GO:0022857,GO:0055085
PLSCT00000009448	GO:0005515
PLSCT00000012952	GO:0006662,GO:0015035,GO:0045454
PLSCT00000014296	GO:0005515
PLSCT00000011680	GO:0003796
PLSCT00000014633	GO:0004185,GO:0006508
PLSCT00000017854	GO:0005515
PLSCT00000005519	GO:0006479,GO:0008168
PLSCT00000003005	GO:0004601,GO:0006979,GO:0020037,GO:0055114,GO:0004601,GO:0055114
PLSCT00000021230	GO:0005515
PLSCT00000018034	GO:0004386
PLSCT00000019469	GO:0070481,GO:0070966,GO:0071025
PLSCT00000008700	GO:0003824,GO:0030151,GO:0030170
PLSCT00000001196	GO:0016853
PLSCT00000008888	GO:0005215,GO:0006810,GO:0016020,GO:0005215,GO:0006857,GO:0016020
PLSCT00000016945	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0005509,GO:0005524
PLSCT00000004552	GO:0016021
PLSCT00000001637	GO:0000381,GO:0005634,GO:0080009,GO:0005634,GO:0080009
PLSCT00000017373	GO:0015991,GO:0033180,GO:0046961,GO:0034220
PLSCT00000013674	GO:0000079,GO:0019901
PLSCT00000007853	GO:0004617,GO:0006564,GO:0008152,GO:0016597,GO:0008152,GO:0016616,GO:0051287,GO:0055114,GO:0051287,GO:0055114
PLSCT00000008649	GO:0005515
PLSCT00000015969	GO:0004175,GO:0006511,GO:0019773,GO:0004298,GO:0004298,GO:0005839,GO:0051603
PLSCT00000004956	GO:0004842,GO:0016567,GO:0005488
PLSCT00000019808	GO:0004310,GO:0008610,GO:0016021,GO:0009058,GO:0016740
PLSCT00000005712	GO:0003677,GO:0003700,GO:0006355,GO:0043565,GO:0006355,GO:0043565
PLSCT00000020436	GO:0005524,GO:0006810,GO:0016021,GO:0042626,GO:0055085
PLSCT00000005710	GO:0003860
PLSCT00000006214	GO:0005515
PLSCT00000006987	GO:0000062,GO:0005515
PLSCT00000002944	GO:0005215,GO:0006810,GO:0016021,GO:0005524,GO:0016887
PLSCT00000020993	GO:0016853
PLSCT00000013938	GO:0003993,GO:0046872
PLSCT00000001874	GO:0005524
PLSCT00000008672	GO:0003735,GO:0005840,GO:0006412
PLSCT00000021515	GO:0000786,GO:0003677,GO:0003677,GO:0046982
PLSCT00000005260	GO:0016491,GO:0055114,GO:0071949
PLSCT00000012025	GO:0005515,GO:0006396
PLSCT00000003806	GO:0009055,GO:0050660
PLSCT00000011861	GO:0004849,GO:0044206,GO:0005524,GO:0008152,GO:0016301,GO:0009116
PLSCT00000005559	GO:0006662,GO:0015035,GO:0045454,GO:0045454
PLSCT00000011763	GO:0008121,GO:0055114,GO:0016020,GO:0055114,GO:0016491,GO:0051537,GO:0055114,GO:0016679,GO:0055114
PLSCT00000016979	GO:0003924,GO:0005525,GO:0005525
PLSCT00000017675	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468
PLSCT00000018734	GO:0006672,GO:0016021,GO:0016811
PLSCT00000013294	GO:0005524,GO:0009029,GO:0009245
PLSCT00000003524	GO:0004674,GO:0004674,GO:0005524
PLSCT00000003611	GO:0005515,GO:0008270
PLSCT00000003620	GO:0004077,GO:0006464,GO:0006464
PLSCT00000009081	GO:0005515,GO:0008270
PLSCT00000020013	GO:0003735,GO:0005840,GO:0006412,GO:0003735,GO:0006412,GO:0015934
PLSCT00000008214	GO:0004519,GO:0005515
PLSCT00000013127	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0005524
PLSCT00000003956	GO:0003824,GO:0008152
PLSCT00000015694	GO:0005515
PLSCT00000021492	GO:0005509,GO:0005783,GO:0006457,GO:0051082
PLSCT00000007630	GO:0003824,GO:0008152
PLSCT00000007693	GO:0005515
PLSCT00000008312	GO:0003341
PLSCT00000013395	GO:0005525,GO:0005525,GO:0007264
PLSCT00000007028	GO:0008168
PLSCT00000020959	GO:0003676,GO:0005622,GO:0006260,GO:0006281,GO:0043140
PLSCT00000016875	GO:0005506,GO:0016705,GO:0020037,GO:0055114,GO:0016705,GO:0055114
PLSCT00000007200	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0005524,GO:0007165
PLSCT00000014556	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468,GO:0005524
PLSCT00000014677	GO:0005096
PLSCT00000019612	GO:0005515
PLSCT00000011947	GO:0005488,GO:0005874
PLSCT00000002747	GO:0006810,GO:0006890,GO:0030126
PLSCT00000013744	GO:0003924,GO:0005200,GO:0005525,GO:0005874,GO:0007017,GO:0005874,GO:0007017
PLSCT00000006873	GO:0003824
PLSCT00000011299	GO:0004107,GO:0009073
PLSCT00000005630	GO:0005488
PLSCT00000010921	GO:0004185,GO:0006508
PLSCT00000020807	GO:0006914
PLSCT00000012965	GO:0003824,GO:0005737,GO:0006559,GO:0016841,GO:0016841
PLSCT00000003853	GO:0003824,GO:0004553
PLSCT00000020738	GO:0007030,GO:0015031,GO:0016020
PLSCT00000008134	GO:0003885,GO:0016020,GO:0055114
PLSCT00000006665	GO:0003824,GO:0005975,GO:0030246,GO:0004553,GO:0005975
PLSCT00000001759	GO:0005524,GO:0006810,GO:0016021,GO:0042626,GO:0055085,GO:0005524,GO:0016887
PLSCT00000003283	GO:0016020
PLSCT00000015169	GO:0005515
PLSCT00000019956	GO:0005524
PLSCT00000006461	GO:0005618,GO:0030599,GO:0042545
PLSCT00000010526	GO:0003735,GO:0005622,GO:0005840,GO:0006412
PLSCT00000002029	GO:0005525,GO:0005525,GO:0005622,GO:0007264
PLSCT00000021061	GO:0003924,GO:0005525
PLSCT00000015420	GO:0030145,GO:0045735
PLSCT00000003044	GO:0005509
PLSCT00000017156	GO:0007094
PLSCT00000019765	GO:0004616,GO:0006098,GO:0055114,GO:0004616,GO:0055114,GO:0016491,GO:0055114,GO:0055114
PLSCT00000018800	GO:0008168
PLSCT00000013823	GO:0006633,GO:0016790
PLSCT00000019787	GO:0006486,GO:0008375
PLSCT00000006396	GO:0000184
PLSCT00000018878	GO:0005618,GO:0030599,GO:0042545
PLSCT00000016151	GO:0003935,GO:0009231,GO:0008686,GO:0009231
PLSCT00000004041	GO:0016491,GO:0030151,GO:0055114,GO:0016491,GO:0055114,GO:0042128
PLSCT00000002123	GO:0046983
PLSCT00000020018	GO:0016491,GO:0055114
PLSCT00000018937	GO:0003333
PLSCT00000011211	GO:0000159,GO:0007165,GO:0005488
PLSCT00000011712	GO:0003677
PLSCT00000014944	GO:0004553,GO:0005975
PLSCT00000003486	GO:0005634,GO:0006260
PLSCT00000002067	GO:0016491,GO:0055114
PLSCT00000019717	GO:0000166,GO:0004812,GO:0005524,GO:0006418,GO:0003676,GO:0004812,GO:0005524,GO:0005737,GO:0005524,GO:0016874
PLSCT00000014379	GO:0005515
PLSCT00000021382	GO:0008519,GO:0015696,GO:0016020,GO:0008519,GO:0016020,GO:0072488
PLSCT00000005789	GO:0005515
PLSCT00000004641	GO:0003993,GO:0046872,GO:0016787
PLSCT00000018227	GO:0004190,GO:0006508
PLSCT00000009737	GO:0005524,GO:0016887,GO:0016020
PLSCT00000015116	GO:0004568,GO:0006032,GO:0016998,GO:0008061
PLSCT00000003301	GO:0016021,GO:0055085
PLSCT00000017261	GO:0003677,GO:0005524,GO:0006298,GO:0032300,GO:0005524,GO:0006298,GO:0030983
PLSCT00000000518	GO:0009058,GO:0016779
PLSCT00000019620	GO:0006511
PLSCT00000005849	GO:0003824,GO:0004553,GO:0005975
PLSCT00000018293	GO:0016884
PLSCT00000015715	GO:0071203
PLSCT00000013537	GO:0005856,GO:0005885,GO:0030833,GO:0034314
PLSCT00000019655	GO:0000398,GO:0005681
PLSCT00000003774	GO:0003824,GO:0003824,GO:0009058,GO:0030170,GO:0009058,GO:0030170
PLSCT00000019793	GO:0003735,GO:0005622,GO:0005840,GO:0006412,GO:0008097
PLSCT00000005938	GO:0004553,GO:0005975,GO:0005975
PLSCT00000013236	GO:0004672,GO:0005524,GO:0006468,GO:0004672,GO:0006468
PLSCT00000017966	GO:0005515
PLSCT00000020885	GO:0005509,GO:0030234
PLSCT00000009516	GO:0005488
PLSCT00000006981	GO:0000287,GO:0004427,GO:0005737,GO:0006796
PLSCT00000020386	GO:0003950
PLSCT00000016271	GO:0003677,GO:0003700,GO:0006355
PLSCT00000003791	GO:0016491
PLSCT00000015689	GO:0005968,GO:0018344,GO:0008318,GO:0018342
PLSCT00000012442	GO:0051225,GO:0070652
PLSCT00000004724	GO:0006511
PLSCT00000007465	GO:0016021
PLSCT00000015077	GO:0005524
PLSCT00000013445	GO:0005618,GO:0030599,GO:0042545
PLSCT00000015772	GO:0000287,GO:0016616,GO:0051287,GO:0055114,GO:0004450,GO:0006102,GO:0055114,GO:0016616,GO:0055114
PLSCT00000001619	GO:0008107,GO:0016020,GO:0042546
PLSCT00000007204	GO:0005515
PLSCT00000009280	GO:0005515
PLSCT00000018080	GO:0005737,GO:0006629,GO:0016021,GO:0016627
PLSCT00000000682	GO:0000166,GO:0000166,GO:0046872,GO:0000287,GO:0004012,GO:0005524,GO:0015914,GO:0016021,GO:0016021
PLSCT00000011280	GO:0008061
PLSCT00000017095	GO:0000159,GO:0005515
PLSCT00000012615	GO:0004491,GO:0055114,GO:0008152,GO:0016491,GO:0016620,GO:0055114,GO:0008152,GO:0016491,GO:0055114
PLSCT00000008853	GO:0000166,GO:0003676
PLSCT00000018107	GO:0005515
