PLSCT00000016654	InterPro:IPR003817,InterPro:IPR033177
PLSCT00000013768	InterPro:IPR003439,InterPro:IPR003593,InterPro:IPR027417
PLSCT00000020975	InterPro:IPR013126,InterPro:IPR018181,InterPro:IPR029047,InterPro:IPR029048
PLSCT00000009617	InterPro:IPR001247,InterPro:IPR015847,InterPro:IPR020568,InterPro:IPR027408,InterPro:IPR033196
PLSCT00000004354	InterPro:IPR006918
PLSCT00000007447	InterPro:IPR003663,InterPro:IPR005828,InterPro:IPR005829,InterPro:IPR020846
PLSCT00000001582	InterPro:IPR018485
PLSCT00000002914	InterPro:IPR001945,InterPro:IPR006555
PLSCT00000014429	InterPro:IPR002052,InterPro:IPR007757,InterPro:IPR029063
PLSCT00000013451	InterPro:IPR003864,InterPro:IPR027815,InterPro:IPR032880
PLSCT00000012869	InterPro:IPR001494,InterPro:IPR011989,InterPro:IPR016024
PLSCT00000001465	InterPro:IPR016040
PLSCT00000018730	InterPro:IPR024937
PLSCT00000015250	InterPro:IPR028258
PLSCT00000019234	InterPro:IPR001209
PLSCT00000005065	InterPro:IPR000980,InterPro:IPR003029,InterPro:IPR006641,InterPro:IPR010994,InterPro:IPR012337,InterPro:IPR012340,InterPro:IPR017072,InterPro:IPR022967,InterPro:IPR023097,InterPro:IPR023323,InterPro:IPR027999,InterPro:IPR028083,InterPro:IPR028088,InterPro:IPR028231,InterPro:IPR032706
PLSCT00000020629	InterPro:IPR000326
PLSCT00000013083	InterPro:IPR011989,InterPro:IPR016024
PLSCT00000008732	InterPro:IPR001932,InterPro:IPR015655
PLSCT00000000623	InterPro:IPR011989,InterPro:IPR013598,InterPro:IPR016024
PLSCT00000006858	InterPro:IPR001282,InterPro:IPR016040,InterPro:IPR019796,InterPro:IPR022674,InterPro:IPR022675
PLSCT00000003585	InterPro:IPR001962,InterPro:IPR014729
PLSCT00000003850	InterPro:IPR001841,InterPro:IPR013083,InterPro:IPR032832
PLSCT00000021562	InterPro:IPR001806,InterPro:IPR027417
PLSCT00000016392	InterPro:IPR019275
PLSCT00000003063	InterPro:IPR000330,InterPro:IPR001650,InterPro:IPR011011,InterPro:IPR013083,InterPro:IPR014001,InterPro:IPR025766,InterPro:IPR027417
PLSCT00000008022	InterPro:IPR006639,InterPro:IPR007369
PLSCT00000009942	InterPro:IPR022663,InterPro:IPR023940
PLSCT00000020520	InterPro:IPR001048,InterPro:IPR024192
PLSCT00000013393	InterPro:IPR000555
PLSCT00000001352	InterPro:IPR001623
PLSCT00000000514	InterPro:IPR002509,InterPro:IPR011330
PLSCT00000020181	InterPro:IPR013830
PLSCT00000008004	InterPro:IPR013717,InterPro:IPR016542
PLSCT00000005083	InterPro:IPR013216,InterPro:IPR029063
PLSCT00000005567	InterPro:IPR020796,InterPro:IPR027417
PLSCT00000018002	InterPro:IPR000300,InterPro:IPR005135
PLSCT00000012230	InterPro:IPR021827
PLSCT00000007099	InterPro:IPR011990,InterPro:IPR013026,InterPro:IPR019734,InterPro:IPR033053
PLSCT00000010558	InterPro:IPR003663,InterPro:IPR005828,InterPro:IPR005829,InterPro:IPR020846
PLSCT00000017882	InterPro:IPR013148,InterPro:IPR013189,InterPro:IPR023296
PLSCT00000002047	InterPro:IPR001406,InterPro:IPR020094,InterPro:IPR020095,InterPro:IPR020097,InterPro:IPR020103
PLSCT00000018863	InterPro:IPR004695
PLSCT00000009694	InterPro:IPR000595,InterPro:IPR014710,InterPro:IPR018422,InterPro:IPR018490
PLSCT00000018023	InterPro:IPR000504,InterPro:IPR012677,InterPro:IPR017334
PLSCT00000002567	InterPro:IPR001345,InterPro:IPR005952,InterPro:IPR013078,InterPro:IPR029033
PLSCT00000014262	InterPro:IPR025110
PLSCT00000009693	InterPro:IPR000823,InterPro:IPR002016,InterPro:IPR010255,InterPro:IPR033905
PLSCT00000011071	InterPro:IPR004696,InterPro:IPR004853
PLSCT00000006883	InterPro:IPR001965,InterPro:IPR011011,InterPro:IPR013083
PLSCT00000009402	InterPro:IPR001012,InterPro:IPR009060,InterPro:IPR012989,InterPro:IPR029071
PLSCT00000021566	InterPro:IPR002300,InterPro:IPR002303,InterPro:IPR009008,InterPro:IPR009080,InterPro:IPR014729
PLSCT00000016680	InterPro:IPR001611,InterPro:IPR032675
PLSCT00000008110	InterPro:IPR001117,InterPro:IPR002355,InterPro:IPR008972,InterPro:IPR011706,InterPro:IPR011707,InterPro:IPR017761,InterPro:IPR033138
PLSCT00000002109	InterPro:IPR003034
PLSCT00000010109	InterPro:IPR003439,InterPro:IPR003593,InterPro:IPR011527,InterPro:IPR017871,InterPro:IPR027417
PLSCT00000021106	InterPro:IPR002587,InterPro:IPR013021,InterPro:IPR016040
PLSCT00000012786	InterPro:IPR001375,InterPro:IPR029058
PLSCT00000020239	InterPro:IPR003663,InterPro:IPR005828,InterPro:IPR005829,InterPro:IPR020846
PLSCT00000016711	InterPro:IPR005595
PLSCT00000012619	InterPro:IPR000253,InterPro:IPR001357,InterPro:IPR008984
PLSCT00000004150	InterPro:IPR000008,InterPro:IPR001263,InterPro:IPR002420,InterPro:IPR015433,InterPro:IPR016024
PLSCT00000016602	InterPro:IPR006043
PLSCT00000000973	InterPro:IPR025564,InterPro:IPR033344
PLSCT00000014709	InterPro:IPR011344
PLSCT00000016007	InterPro:IPR001509,InterPro:IPR016040
PLSCT00000008570	InterPro:IPR009305
PLSCT00000018898	InterPro:IPR001199,InterPro:IPR005804,InterPro:IPR012171
PLSCT00000011693	InterPro:IPR001222,InterPro:IPR003617,InterPro:IPR003618,InterPro:IPR006289,InterPro:IPR016492,InterPro:IPR017923
PLSCT00000012559	InterPro:IPR010686
PLSCT00000015976	InterPro:IPR001461,InterPro:IPR001969,InterPro:IPR021109,InterPro:IPR032861,InterPro:IPR033121
PLSCT00000001926	InterPro:IPR000163,InterPro:IPR001107
PLSCT00000013614	InterPro:IPR006083,InterPro:IPR027417
PLSCT00000017367	InterPro:IPR005123,InterPro:IPR006620
PLSCT00000014516	InterPro:IPR018499
PLSCT00000003766	InterPro:IPR005178
PLSCT00000011505	InterPro:IPR002562,InterPro:IPR002782,InterPro:IPR012337
PLSCT00000003347	InterPro:IPR021298
PLSCT00000002017	InterPro:IPR010935
PLSCT00000008029	InterPro:IPR007751,InterPro:IPR029058
PLSCT00000012867	InterPro:IPR007087,InterPro:IPR013087,InterPro:IPR015880
PLSCT00000014916	InterPro:IPR002755,InterPro:IPR002905,InterPro:IPR014052,InterPro:IPR028082,InterPro:IPR029063
PLSCT00000012105	InterPro:IPR007197,InterPro:IPR013785
PLSCT00000005576	InterPro:IPR003340,InterPro:IPR015300
PLSCT00000000543	InterPro:IPR005839,InterPro:IPR006466,InterPro:IPR006638,InterPro:IPR007197,InterPro:IPR013848,InterPro:IPR020612,InterPro:IPR023404,InterPro:IPR023970
PLSCT00000007600	InterPro:IPR001827,InterPro:IPR013120,InterPro:IPR016040,InterPro:IPR026055,InterPro:IPR033640
PLSCT00000007742	InterPro:IPR003107,InterPro:IPR011990
PLSCT00000003831	InterPro:IPR022742,InterPro:IPR029058
PLSCT00000002367	InterPro:IPR001451,InterPro:IPR011004,InterPro:IPR018357
PLSCT00000010352	InterPro:IPR024340,InterPro:IPR024880
PLSCT00000018576	InterPro:IPR016040
PLSCT00000001284	InterPro:IPR012337,InterPro:IPR013520,InterPro:IPR017849
PLSCT00000007430	InterPro:IPR003864,InterPro:IPR027815,InterPro:IPR032880
PLSCT00000000695	InterPro:IPR007259
PLSCT00000019034	InterPro:IPR001357,InterPro:IPR004274,InterPro:IPR011947,InterPro:IPR023214
PLSCT00000015427	InterPro:IPR003439,InterPro:IPR027417
PLSCT00000017054	InterPro:IPR005033
PLSCT00000019854	InterPro:IPR000932
PLSCT00000003165	InterPro:IPR003593,InterPro:IPR003959,InterPro:IPR003960,InterPro:IPR027417
PLSCT00000007695	InterPro:IPR000217,InterPro:IPR008280,InterPro:IPR023123
PLSCT00000020535	InterPro:IPR001494,InterPro:IPR011989,InterPro:IPR013713,InterPro:IPR016024
PLSCT00000008928	InterPro:IPR000644
PLSCT00000016786	InterPro:IPR018790,InterPro:IPR032710
PLSCT00000014940	InterPro:IPR006846
PLSCT00000017872	InterPro:IPR012891
PLSCT00000009758	InterPro:IPR011989,InterPro:IPR016024
PLSCT00000019955	InterPro:IPR001223,InterPro:IPR013781,InterPro:IPR017853
PLSCT00000002995	InterPro:IPR006887
PLSCT00000006111	InterPro:IPR017877
PLSCT00000009287	InterPro:IPR011990,InterPro:IPR013026,InterPro:IPR019734
PLSCT00000008586	InterPro:IPR001563,InterPro:IPR029058,InterPro:IPR033124
PLSCT00000014831	InterPro:IPR023413
PLSCT00000015027	InterPro:IPR001602
PLSCT00000018265	InterPro:IPR003439,InterPro:IPR003593,InterPro:IPR013525,InterPro:IPR017871,InterPro:IPR027417
PLSCT00000005520	InterPro:IPR001929,InterPro:IPR006045,InterPro:IPR011051,InterPro:IPR014710,InterPro:IPR019780
PLSCT00000020887	InterPro:IPR001950,InterPro:IPR005874
PLSCT00000020365	InterPro:IPR014030,InterPro:IPR014031,InterPro:IPR016039,InterPro:IPR018201,InterPro:IPR020841
PLSCT00000002627	InterPro:IPR012392,InterPro:IPR013601,InterPro:IPR013747,InterPro:IPR016039
PLSCT00000012274	InterPro:IPR003788,InterPro:IPR029063
PLSCT00000021298	InterPro:IPR006134,InterPro:IPR030559
PLSCT00000014086	InterPro:IPR001929,InterPro:IPR006045,InterPro:IPR011051,InterPro:IPR014710,InterPro:IPR019780
PLSCT00000020532	InterPro:IPR003107,InterPro:IPR008847,InterPro:IPR011990
PLSCT00000004406	InterPro:IPR003340,InterPro:IPR015300
PLSCT00000007133	InterPro:IPR016040
PLSCT00000011434	InterPro:IPR013078,InterPro:IPR029033
PLSCT00000016255	InterPro:IPR002637,InterPro:IPR029001
PLSCT00000020335	InterPro:IPR000504,InterPro:IPR001878,InterPro:IPR012677
PLSCT00000003752	InterPro:IPR000210,InterPro:IPR011333
PLSCT00000020873	InterPro:IPR001816,InterPro:IPR014039
PLSCT00000018338	InterPro:IPR012479
PLSCT00000008285	InterPro:IPR003439,InterPro:IPR027417
PLSCT00000012310	InterPro:IPR018485
PLSCT00000002781	InterPro:IPR010580
PLSCT00000005524	InterPro:IPR000823,InterPro:IPR002016,InterPro:IPR010255,InterPro:IPR019793,InterPro:IPR019794,InterPro:IPR033905
PLSCT00000001096	InterPro:IPR003959,InterPro:IPR026082,InterPro:IPR027417
PLSCT00000006340	InterPro:IPR003489
PLSCT00000013902	InterPro:IPR001810,InterPro:IPR011043,InterPro:IPR015916
PLSCT00000016331	InterPro:IPR002864,InterPro:IPR029069
PLSCT00000008492	InterPro:IPR012173
PLSCT00000001286	InterPro:IPR001932,InterPro:IPR015655
PLSCT00000001821	InterPro:IPR000195
PLSCT00000020397	InterPro:IPR006424,InterPro:IPR016040,InterPro:IPR020828,InterPro:IPR020829,InterPro:IPR020830,InterPro:IPR020831
PLSCT00000018981	InterPro:IPR012349
PLSCT00000014389	InterPro:IPR027640
PLSCT00000011440	InterPro:IPR012338
PLSCT00000000532	InterPro:IPR026899
PLSCT00000008102	InterPro:IPR001680,InterPro:IPR015943,InterPro:IPR017986
PLSCT00000007081	InterPro:IPR001632,InterPro:IPR001680,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR019775,InterPro:IPR020472
PLSCT00000004431	InterPro:IPR001623,InterPro:IPR022226
PLSCT00000014528	InterPro:IPR010323,InterPro:IPR011990
PLSCT00000015953	InterPro:IPR002885,InterPro:IPR011990,InterPro:IPR032867
PLSCT00000006509	InterPro:IPR000719,InterPro:IPR001611,InterPro:IPR003591,InterPro:IPR008271,InterPro:IPR011009,InterPro:IPR013210,InterPro:IPR013320,InterPro:IPR017441,InterPro:IPR032675
PLSCT00000017987	InterPro:IPR000504,InterPro:IPR000571,InterPro:IPR002110,InterPro:IPR012677,InterPro:IPR020683
PLSCT00000008745	InterPro:IPR002048,InterPro:IPR003607,InterPro:IPR007685,InterPro:IPR011992,InterPro:IPR018247
PLSCT00000010639	InterPro:IPR008509,InterPro:IPR020846
PLSCT00000004038	InterPro:IPR005027
PLSCT00000018431	InterPro:IPR000977,InterPro:IPR012308,InterPro:IPR012309,InterPro:IPR012310,InterPro:IPR012340,InterPro:IPR016059
PLSCT00000009468	InterPro:IPR001807,InterPro:IPR014743
PLSCT00000012741	InterPro:IPR004326
PLSCT00000009866	InterPro:IPR002347,InterPro:IPR016040
PLSCT00000003397	InterPro:IPR000308,InterPro:IPR023409,InterPro:IPR023410
PLSCT00000015464	InterPro:IPR008509,InterPro:IPR020846
PLSCT00000002085	InterPro:IPR000504,InterPro:IPR012677
PLSCT00000004859	InterPro:IPR010788,InterPro:IPR011038,InterPro:IPR012674,InterPro:IPR022272
PLSCT00000016891	InterPro:IPR006702
PLSCT00000005882	InterPro:IPR004827
PLSCT00000012199	InterPro:IPR001279
PLSCT00000016231	InterPro:IPR001214
PLSCT00000008154	InterPro:IPR000073,InterPro:IPR000639,InterPro:IPR029058
PLSCT00000002606	InterPro:IPR000727,InterPro:IPR006012
PLSCT00000019790	InterPro:IPR009014,InterPro:IPR033247,InterPro:IPR033248
PLSCT00000019423	InterPro:IPR001789,InterPro:IPR003018,InterPro:IPR003594,InterPro:IPR003661,InterPro:IPR004358,InterPro:IPR005467,InterPro:IPR011006,InterPro:IPR029016
PLSCT00000012261	InterPro:IPR000223,InterPro:IPR015927,InterPro:IPR028360
PLSCT00000005764	InterPro:IPR003653
PLSCT00000014552	InterPro:IPR001841,InterPro:IPR013083,InterPro:IPR017907,InterPro:IPR018957
PLSCT00000015376	InterPro:IPR008390
PLSCT00000016975	InterPro:IPR003337,InterPro:IPR023214
PLSCT00000011238	InterPro:IPR013094,InterPro:IPR029058
PLSCT00000015656	InterPro:IPR007781,InterPro:IPR024732,InterPro:IPR024733
PLSCT00000009717	InterPro:IPR003388
PLSCT00000017355	InterPro:IPR000916,InterPro:IPR023393
PLSCT00000007117	InterPro:IPR021562
PLSCT00000015571	InterPro:IPR000608,InterPro:IPR016135
PLSCT00000017593	InterPro:IPR001932,InterPro:IPR015655,InterPro:IPR016660
PLSCT00000017783	InterPro:IPR001715
PLSCT00000004780	InterPro:IPR017877,InterPro:IPR027775
PLSCT00000008305	InterPro:IPR010658,InterPro:IPR011701,InterPro:IPR020846
PLSCT00000004960	InterPro:IPR006948,InterPro:IPR015422,InterPro:IPR015424
PLSCT00000006645	InterPro:IPR015881,InterPro:IPR017941
PLSCT00000013865	InterPro:IPR000217
PLSCT00000001881	InterPro:IPR000330,InterPro:IPR014001,InterPro:IPR027417
PLSCT00000002145	InterPro:IPR001697,InterPro:IPR011037,InterPro:IPR015793,InterPro:IPR015806,InterPro:IPR015813
PLSCT00000003498	InterPro:IPR027806
PLSCT00000006724	InterPro:IPR007572
PLSCT00000015972	InterPro:IPR001063,InterPro:IPR005721,InterPro:IPR018260
PLSCT00000006124	InterPro:IPR001841,InterPro:IPR013083
PLSCT00000012570	InterPro:IPR019162
PLSCT00000008178	InterPro:IPR000504,InterPro:IPR012677
PLSCT00000000207	InterPro:IPR004282
PLSCT00000000283	InterPro:IPR007632
PLSCT00000003284	InterPro:IPR000644,InterPro:IPR013785
PLSCT00000021105	InterPro:IPR001086,InterPro:IPR002912,InterPro:IPR018528
PLSCT00000006189	InterPro:IPR029068
PLSCT00000012653	InterPro:IPR003734
PLSCT00000004607	InterPro:IPR000811
PLSCT00000001364	InterPro:IPR003675
PLSCT00000008871	InterPro:IPR019135
PLSCT00000010120	InterPro:IPR011990,InterPro:IPR029489
PLSCT00000021347	InterPro:IPR003458
PLSCT00000014416	InterPro:IPR002550
PLSCT00000001424	InterPro:IPR001680,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR019775
PLSCT00000008292	InterPro:IPR003439,InterPro:IPR027417
PLSCT00000011533	InterPro:IPR000157,InterPro:IPR002182,InterPro:IPR027417,InterPro:IPR032675
PLSCT00000009708	InterPro:IPR002477
PLSCT00000012566	InterPro:IPR000146,InterPro:IPR028343,InterPro:IPR033391
PLSCT00000017220	InterPro:IPR001806,InterPro:IPR002048,InterPro:IPR011992,InterPro:IPR013567,InterPro:IPR020860,InterPro:IPR027417
PLSCT00000002270	InterPro:IPR018108,InterPro:IPR023395
PLSCT00000019864	InterPro:IPR010347,InterPro:IPR027415
PLSCT00000012746	InterPro:IPR019020
PLSCT00000002232	InterPro:IPR009631
PLSCT00000003375	InterPro:IPR013057
PLSCT00000015444	InterPro:IPR000719,InterPro:IPR008271,InterPro:IPR011009,InterPro:IPR013320
PLSCT00000011515	InterPro:IPR003700,InterPro:IPR015813
PLSCT00000008873	InterPro:IPR008889
PLSCT00000014798	InterPro:IPR001611,InterPro:IPR003591,InterPro:IPR032675
PLSCT00000016911	InterPro:IPR010402
PLSCT00000010236	InterPro:IPR004516,InterPro:IPR006195
PLSCT00000016932	InterPro:IPR004648,InterPro:IPR004813
PLSCT00000010247	InterPro:IPR025254
PLSCT00000015263	InterPro:IPR000504,InterPro:IPR012677
PLSCT00000013971	InterPro:IPR003439,InterPro:IPR003593,InterPro:IPR011527,InterPro:IPR017871,InterPro:IPR027417
PLSCT00000010786	InterPro:IPR018108,InterPro:IPR023395
PLSCT00000009504	InterPro:IPR002885,InterPro:IPR011990,InterPro:IPR032867
PLSCT00000015574	InterPro:IPR002085,InterPro:IPR002328,InterPro:IPR011032,InterPro:IPR013154
PLSCT00000006129	InterPro:IPR008630
PLSCT00000004961	InterPro:IPR001163,InterPro:IPR010920,InterPro:IPR027078
PLSCT00000017810	InterPro:IPR002885,InterPro:IPR011990
PLSCT00000009012	InterPro:IPR014905,InterPro:IPR033315
PLSCT00000020685	InterPro:IPR003594,InterPro:IPR003661,InterPro:IPR005467
PLSCT00000006835	InterPro:IPR003197
PLSCT00000016644	InterPro:IPR000702,InterPro:IPR002359,InterPro:IPR020040
PLSCT00000001295	InterPro:IPR002060,InterPro:IPR006449,InterPro:IPR008949,InterPro:IPR019845,InterPro:IPR033904
PLSCT00000003594	InterPro:IPR002937,InterPro:IPR023753
PLSCT00000016432	InterPro:IPR003386,InterPro:IPR029058
PLSCT00000002230	InterPro:IPR006062,InterPro:IPR011060,InterPro:IPR013785
PLSCT00000014833	InterPro:IPR007042,InterPro:IPR007087
PLSCT00000004419	InterPro:IPR001017,InterPro:IPR017597,InterPro:IPR029061
PLSCT00000008301	InterPro:IPR005018,InterPro:IPR006593,InterPro:IPR017214
PLSCT00000000629	InterPro:IPR000504,InterPro:IPR003954,InterPro:IPR006509,InterPro:IPR012677,InterPro:IPR029123
PLSCT00000014253	InterPro:IPR000649
PLSCT00000002689	InterPro:IPR003675
PLSCT00000016638	InterPro:IPR001465,InterPro:IPR006252,InterPro:IPR011076,InterPro:IPR019830
PLSCT00000010090	InterPro:IPR006095,InterPro:IPR006096,InterPro:IPR006097,InterPro:IPR016040,InterPro:IPR033524,InterPro:IPR033922
PLSCT00000008529	InterPro:IPR012340
PLSCT00000009089	InterPro:IPR020683
PLSCT00000017431	InterPro:IPR026147
PLSCT00000016576	InterPro:IPR001388,InterPro:IPR010908,InterPro:IPR011012
PLSCT00000020564	InterPro:IPR010402
PLSCT00000019980	InterPro:IPR000163,InterPro:IPR001107
PLSCT00000002648	InterPro:IPR019616
PLSCT00000007847	InterPro:IPR002123
PLSCT00000007731	InterPro:IPR004000,InterPro:IPR027668
PLSCT00000003795	InterPro:IPR010347,InterPro:IPR027415
PLSCT00000018288	InterPro:IPR007342
PLSCT00000019877	InterPro:IPR012955
PLSCT00000008772	InterPro:IPR001461,InterPro:IPR021109,InterPro:IPR032861,InterPro:IPR033121
PLSCT00000008816	InterPro:IPR000223,InterPro:IPR015927,InterPro:IPR019759,InterPro:IPR028360
PLSCT00000016472	InterPro:IPR000357,InterPro:IPR011989,InterPro:IPR016024
PLSCT00000006866	InterPro:IPR001645,InterPro:IPR013221,InterPro:IPR023600
PLSCT00000015395	InterPro:IPR012501
PLSCT00000003140	InterPro:IPR016435
PLSCT00000014541	InterPro:IPR004333
PLSCT00000000575	InterPro:IPR027417,InterPro:IPR032675
PLSCT00000016887	InterPro:IPR002683,InterPro:IPR016123
PLSCT00000012267	InterPro:IPR006003,InterPro:IPR018484,InterPro:IPR018485
PLSCT00000014587	InterPro:IPR029044
PLSCT00000012767	InterPro:IPR000103,InterPro:IPR016156,InterPro:IPR023753
PLSCT00000017516	InterPro:IPR001631,InterPro:IPR008336,InterPro:IPR011010,InterPro:IPR013030,InterPro:IPR013034,InterPro:IPR013499,InterPro:IPR013500,InterPro:IPR014711,InterPro:IPR014727,InterPro:IPR018521,InterPro:IPR025834
PLSCT00000018745	InterPro:IPR004843,InterPro:IPR029052
PLSCT00000007538	InterPro:IPR011990,InterPro:IPR013026,InterPro:IPR019734
PLSCT00000012787	InterPro:IPR001375,InterPro:IPR011042,InterPro:IPR029058
PLSCT00000013795	InterPro:IPR009457
PLSCT00000018283	InterPro:IPR015590,InterPro:IPR016161,InterPro:IPR016162,InterPro:IPR016163,InterPro:IPR029510
PLSCT00000016435	InterPro:IPR001594
PLSCT00000014721	InterPro:IPR000719,InterPro:IPR001611,InterPro:IPR008271,InterPro:IPR011009,InterPro:IPR013320,InterPro:IPR017441,InterPro:IPR032675
PLSCT00000006494	InterPro:IPR007087,InterPro:IPR013087,InterPro:IPR015880
PLSCT00000008921	InterPro:IPR008390
PLSCT00000009722	InterPro:IPR000528,InterPro:IPR016140
PLSCT00000007214	InterPro:IPR001830,InterPro:IPR003337,InterPro:IPR023214
PLSCT00000010094	InterPro:IPR010766,InterPro:IPR028979
PLSCT00000003016	InterPro:IPR005691
PLSCT00000012808	InterPro:IPR004155,InterPro:IPR011989,InterPro:IPR016024
PLSCT00000019894	InterPro:IPR001865,InterPro:IPR005707,InterPro:IPR018130,InterPro:IPR023591,InterPro:IPR027498
PLSCT00000004624	InterPro:IPR003029,InterPro:IPR012340,InterPro:IPR022967
PLSCT00000017161	InterPro:IPR004240
PLSCT00000000329	InterPro:IPR000711,InterPro:IPR026015
PLSCT00000010478	InterPro:IPR000873
PLSCT00000008825	InterPro:IPR006593
PLSCT00000003848	InterPro:IPR011059
PLSCT00000018558	InterPro:IPR019275
PLSCT00000002794	InterPro:IPR001394,InterPro:IPR001607,InterPro:IPR013083,InterPro:IPR028889,InterPro:IPR033809
PLSCT00000005493	InterPro:IPR004277
PLSCT00000014366	InterPro:IPR000330,InterPro:IPR014001,InterPro:IPR027417
PLSCT00000013370	InterPro:IPR008942,InterPro:IPR011417,InterPro:IPR013809,InterPro:IPR014712
PLSCT00000001690	InterPro:IPR001078,InterPro:IPR011053,InterPro:IPR023213
PLSCT00000021599	InterPro:IPR000719,InterPro:IPR011009
PLSCT00000016796	InterPro:IPR002059,InterPro:IPR011129,InterPro:IPR012340,InterPro:IPR019844
PLSCT00000006969	InterPro:IPR000644,InterPro:IPR001807,InterPro:IPR014743
PLSCT00000003983	InterPro:IPR008162
PLSCT00000018573	InterPro:IPR027417
PLSCT00000007610	InterPro:IPR015222
PLSCT00000005597	InterPro:IPR001251
PLSCT00000018516	InterPro:IPR003358,InterPro:IPR025763,InterPro:IPR029063
PLSCT00000005082	InterPro:IPR000719,InterPro:IPR001220,InterPro:IPR011009,InterPro:IPR013320,InterPro:IPR017441,InterPro:IPR031049
PLSCT00000013726	InterPro:IPR002130,InterPro:IPR003609,InterPro:IPR029000
PLSCT00000007527	InterPro:IPR006593
PLSCT00000017657	InterPro:IPR000836,InterPro:IPR005946,InterPro:IPR029057,InterPro:IPR029099
PLSCT00000004173	InterPro:IPR013216,InterPro:IPR013705,InterPro:IPR029063,InterPro:IPR030384
PLSCT00000010797	InterPro:IPR000504,InterPro:IPR012677
PLSCT00000013113	InterPro:IPR005134
PLSCT00000021454	InterPro:IPR003397,InterPro:IPR005678
PLSCT00000018571	InterPro:IPR006502
PLSCT00000018259	InterPro:IPR003526,InterPro:IPR020555
PLSCT00000003433	InterPro:IPR007361
PLSCT00000002118	InterPro:IPR000073,InterPro:IPR029058
PLSCT00000016782	InterPro:IPR000941,InterPro:IPR020809,InterPro:IPR020810,InterPro:IPR029065
PLSCT00000020135	InterPro:IPR001471,InterPro:IPR016177
PLSCT00000016570	InterPro:IPR002124
PLSCT00000019996	InterPro:IPR006595,InterPro:IPR015943,InterPro:IPR017986,InterPro:IPR027728
PLSCT00000016441	InterPro:IPR002500,InterPro:IPR004511,InterPro:IPR014729
PLSCT00000012955	InterPro:IPR011989,InterPro:IPR016024
PLSCT00000018000	InterPro:IPR009769
PLSCT00000001653	InterPro:IPR031570
PLSCT00000021602	InterPro:IPR001750
PLSCT00000003098	InterPro:IPR003451
PLSCT00000004123	InterPro:IPR004114
PLSCT00000019095	InterPro:IPR001926,InterPro:IPR006653
PLSCT00000018945	InterPro:IPR000120,InterPro:IPR011990,InterPro:IPR013026,InterPro:IPR019734,InterPro:IPR023631
PLSCT00000018691	InterPro:IPR002194,InterPro:IPR002423,InterPro:IPR017998,InterPro:IPR027413
PLSCT00000011750	InterPro:IPR011012,InterPro:IPR022775
PLSCT00000020048	InterPro:IPR006076,InterPro:IPR023753
PLSCT00000008711	InterPro:IPR001232,InterPro:IPR011333,InterPro:IPR016073
PLSCT00000013210	InterPro:IPR005326
PLSCT00000011171	InterPro:IPR000547,InterPro:IPR011990,InterPro:IPR016024
PLSCT00000018128	InterPro:IPR011990,InterPro:IPR019734
PLSCT00000002615	InterPro:IPR000163,InterPro:IPR001107
PLSCT00000020698	InterPro:IPR003593,InterPro:IPR003959,InterPro:IPR003960,InterPro:IPR015415,InterPro:IPR027417
PLSCT00000016669	InterPro:IPR001005,InterPro:IPR001789,InterPro:IPR006447,InterPro:IPR009057,InterPro:IPR011006,InterPro:IPR017930
PLSCT00000016694	InterPro:IPR009755
PLSCT00000011437	InterPro:IPR016024,InterPro:IPR026736
PLSCT00000003442	InterPro:IPR000629,InterPro:IPR001650,InterPro:IPR011545,InterPro:IPR014001,InterPro:IPR014014,InterPro:IPR027417
PLSCT00000016608	InterPro:IPR001163,InterPro:IPR010920,InterPro:IPR033871
PLSCT00000011206	InterPro:IPR001247,InterPro:IPR003029,InterPro:IPR004087,InterPro:IPR004088,InterPro:IPR012162,InterPro:IPR012340,InterPro:IPR015847,InterPro:IPR015848,InterPro:IPR020568,InterPro:IPR022967,InterPro:IPR027408
PLSCT00000018986	InterPro:IPR000592,InterPro:IPR011332,InterPro:IPR023407
PLSCT00000015553	InterPro:IPR002885
PLSCT00000010675	InterPro:IPR002109,InterPro:IPR011767,InterPro:IPR011899,InterPro:IPR012336,InterPro:IPR014025
PLSCT00000013354	InterPro:IPR001623
PLSCT00000001542	InterPro:IPR024095
PLSCT00000004546	InterPro:IPR002833,InterPro:IPR023476
PLSCT00000020806	InterPro:IPR000719,InterPro:IPR011009,InterPro:IPR032675
PLSCT00000009622	InterPro:IPR001471,InterPro:IPR016177
PLSCT00000010802	InterPro:IPR005380,InterPro:IPR005381
PLSCT00000002099	InterPro:IPR003749,InterPro:IPR010034,InterPro:IPR012675,InterPro:IPR016155,InterPro:IPR028887
PLSCT00000004921	InterPro:IPR013216,InterPro:IPR029063
PLSCT00000004987	InterPro:IPR019309
PLSCT00000007294	InterPro:IPR013601
PLSCT00000011212	InterPro:IPR000374
PLSCT00000013215	InterPro:IPR003701,InterPro:IPR004843,InterPro:IPR029052
PLSCT00000018410	InterPro:IPR006599,InterPro:IPR012945,InterPro:IPR016098,InterPro:IPR017901,InterPro:IPR027684,InterPro:IPR031925
PLSCT00000012655	InterPro:IPR018484,InterPro:IPR018485
PLSCT00000021168	InterPro:IPR000270,InterPro:IPR000644
