PLSCT00000016654	PFAM:PF02666
PLSCT00000007527	PFAM:PF03188
PLSCT00000004173	PFAM:PF08241,PFAM:PF08498
PLSCT00000017657	PFAM:PF13793,PFAM:PF14572
PLSCT00000010797	PFAM:PF00076
PLSCT00000013113	PFAM:PF03350
PLSCT00000021454	PFAM:PF02466
PLSCT00000018571	PFAM:PF04720
PLSCT00000018259	PFAM:PF02542
PLSCT00000003433	PFAM:PF04248
PLSCT00000002118	PFAM:PF12697
PLSCT00000016782	PFAM:PF00113
PLSCT00000020135	PFAM:PF00847
PLSCT00000016570	PFAM:PF01215
PLSCT00000016441	PFAM:PF01507
PLSCT00000018000	PFAM:PF07059
PLSCT00000001653	PFAM:PF15787
PLSCT00000021602	PFAM:PF00361
PLSCT00000003098	PFAM:PF02401
PLSCT00000004123	PFAM:PF02926
PLSCT00000019095	PFAM:PF00291
PLSCT00000018945	PFAM:PF01425,PFAM:PF13181
PLSCT00000018691	PFAM:PF00118
PLSCT00000011750	PFAM:PF01217
PLSCT00000020048	PFAM:PF01266
PLSCT00000008711	PFAM:PF03931
PLSCT00000013210	PFAM:PF03501
PLSCT00000011171	PFAM:PF00637
PLSCT00000002615	PFAM:PF01145
PLSCT00000020698	PFAM:PF00004,PFAM:PF09336
PLSCT00000016669	PFAM:PF00072,PFAM:PF00249
PLSCT00000016694	PFAM:PF07035
PLSCT00000003442	PFAM:PF00270,PFAM:PF00271
PLSCT00000016608	PFAM:PF01423
PLSCT00000011206	PFAM:PF00013,PFAM:PF00575,PFAM:PF01138,PFAM:PF03725
PLSCT00000018986	PFAM:PF01667
PLSCT00000015553	PFAM:PF13041,PFAM:PF13812
PLSCT00000010675	PFAM:PF00462
PLSCT00000013354	PFAM:PF00226
PLSCT00000004546	PFAM:PF01981
PLSCT00000020806	PFAM:PF00069
PLSCT00000009622	PFAM:PF00847
PLSCT00000010802	PFAM:PF03468,PFAM:PF03470
PLSCT00000002099	PFAM:PF02597
PLSCT00000004921	PFAM:PF08241
PLSCT00000004987	PFAM:PF10152
PLSCT00000007294	PFAM:PF08392
PLSCT00000011212	PFAM:PF01148
PLSCT00000013215	PFAM:PF00149
PLSCT00000018410	PFAM:PF07986,PFAM:PF16752
PLSCT00000012655	PFAM:PF00370,PFAM:PF02782
PLSCT00000021168	PFAM:PF00564,PFAM:PF00571
PLSCT00000006191	PFAM:PF00350,PFAM:PF01031,PFAM:PF02212
PLSCT00000011893	PFAM:PF07797
PLSCT00000007442	PFAM:PF01956
PLSCT00000008668	PFAM:PF03006
PLSCT00000019876	PFAM:PF05047
PLSCT00000003181	PFAM:PF05368
PLSCT00000011922	PFAM:PF00787,PFAM:PF09325
PLSCT00000013067	PFAM:PF00190
PLSCT00000015509	PFAM:PF00650
PLSCT00000016449	PFAM:PF14159
PLSCT00000010844	PFAM:PF01370
PLSCT00000001839	PFAM:PF00701
PLSCT00000011038	PFAM:PF08172
PLSCT00000019923	PFAM:PF12579
PLSCT00000004604	PFAM:PF00005,PFAM:PF12848
PLSCT00000009072	PFAM:PF03153
PLSCT00000012495	PFAM:PF05964
PLSCT00000014161	PFAM:PF00350
PLSCT00000013509	PFAM:PF01869
PLSCT00000008691	PFAM:PF00651
PLSCT00000011296	PFAM:PF13671
PLSCT00000018933	PFAM:PF13692
PLSCT00000003004	PFAM:PF01381,PFAM:PF08523
PLSCT00000004791	PFAM:PF00006,PFAM:PF02874
PLSCT00000016490	PFAM:PF03556
PLSCT00000014829	PFAM:PF01751
PLSCT00000009899	PFAM:PF02519
PLSCT00000017183	PFAM:PF12014
PLSCT00000001603	PFAM:PF00400
PLSCT00000014717	PFAM:PF00400,PFAM:PF12937
PLSCT00000000583	PFAM:PF00249
PLSCT00000008086	PFAM:PF00514
PLSCT00000015079	PFAM:PF01716
PLSCT00000001786	PFAM:PF08216
PLSCT00000016267	PFAM:PF00071
PLSCT00000020947	PFAM:PF00892
PLSCT00000007139	PFAM:PF00108,PFAM:PF02803
PLSCT00000012371	PFAM:PF00176,PFAM:PF00271
PLSCT00000020073	PFAM:PF00400
PLSCT00000018799	PFAM:PF03141
PLSCT00000020580	PFAM:PF00355
PLSCT00000008203	PFAM:PF13499
PLSCT00000003312	PFAM:PF03016
PLSCT00000011550	PFAM:PF13415,PFAM:PF13418
PLSCT00000004219	PFAM:PF03800
PLSCT00000017256	PFAM:PF00327
PLSCT00000005090	PFAM:PF14309
PLSCT00000005282	PFAM:PF12854,PFAM:PF13041,PFAM:PF13812
PLSCT00000017124	PFAM:PF10607
PLSCT00000012001	PFAM:PF00046,PFAM:PF02791
PLSCT00000016921	PFAM:PF00004
PLSCT00000012219	PFAM:PF00067
PLSCT00000014462	PFAM:PF02969,PFAM:PF07571
PLSCT00000019189	PFAM:PF00240
PLSCT00000005935	PFAM:PF01676,PFAM:PF10143
PLSCT00000015835	PFAM:PF00168
PLSCT00000010676	PFAM:PF10513
PLSCT00000004420	PFAM:PF00022
PLSCT00000021301	PFAM:PF02517
PLSCT00000006496	PFAM:PF00587,PFAM:PF03129,PFAM:PF09180
PLSCT00000004488	PFAM:PF03909
PLSCT00000011749	PFAM:PF00162
PLSCT00000014269	PFAM:PF00083
PLSCT00000006922	PFAM:PF00810
PLSCT00000009164	PFAM:PF14569
PLSCT00000005896	PFAM:PF01964,PFAM:PF13667
PLSCT00000014110	PFAM:PF00348
PLSCT00000017690	PFAM:PF06432
PLSCT00000010572	PFAM:PF03357
PLSCT00000006101	PFAM:PF04979
PLSCT00000021457	PFAM:PF01293
PLSCT00000006720	PFAM:PF00400
PLSCT00000018421	PFAM:PF03849
PLSCT00000006610	PFAM:PF01283
PLSCT00000014949	PFAM:PF00847
PLSCT00000004443	PFAM:PF04371
PLSCT00000015778	PFAM:PF00355
PLSCT00000006714	PFAM:PF00122,PFAM:PF00690,PFAM:PF13246
PLSCT00000003507	PFAM:PF01764
PLSCT00000020422	PFAM:PF00069,PFAM:PF07714
PLSCT00000019918	PFAM:PF11625
PLSCT00000005277	PFAM:PF00035
PLSCT00000011730	PFAM:PF00493,PFAM:PF17207
PLSCT00000007151	PFAM:PF00091,PFAM:PF03953
PLSCT00000002049	PFAM:PF11265
PLSCT00000020127	PFAM:PF00027,PFAM:PF00069
PLSCT00000001152	PFAM:PF00156,PFAM:PF13793
PLSCT00000010951	PFAM:PF00144
PLSCT00000014467	PFAM:PF03357
PLSCT00000017178	PFAM:PF01161
PLSCT00000006242	PFAM:PF01764
PLSCT00000012586	PFAM:PF00010
PLSCT00000011327	PFAM:PF01066
PLSCT00000020499	PFAM:PF07821
PLSCT00000017076	PFAM:PF00579
PLSCT00000015754	PFAM:PF00012
PLSCT00000011953	PFAM:PF09202
PLSCT00000017841	PFAM:PF01165
PLSCT00000014183	PFAM:PF10186
PLSCT00000000809	PFAM:PF02668
PLSCT00000011421	PFAM:PF01169
PLSCT00000004170	PFAM:PF09192
PLSCT00000013892	PFAM:PF04438
PLSCT00000012210	PFAM:PF01329
PLSCT00000007399	PFAM:PF02681
PLSCT00000008979	PFAM:PF04997
PLSCT00000014146	PFAM:PF01095
PLSCT00000000991	PFAM:PF13839
PLSCT00000006277	PFAM:PF02271
PLSCT00000017128	PFAM:PF10607
PLSCT00000013673	PFAM:PF00566
PLSCT00000004557	PFAM:PF00512
PLSCT00000019379	PFAM:PF00149
PLSCT00000017175	PFAM:PF00364
PLSCT00000008628	PFAM:PF04100
PLSCT00000013059	PFAM:PF00206,PFAM:PF08328
PLSCT00000005632	PFAM:PF03810,PFAM:PF08389
PLSCT00000010318	PFAM:PF00892
PLSCT00000003637	PFAM:PF16363
PLSCT00000015511	PFAM:PF00136,PFAM:PF03104
PLSCT00000012897	PFAM:PF04104
PLSCT00000009095	PFAM:PF00628
PLSCT00000011406	PFAM:PF00153
PLSCT00000005060	PFAM:PF01513
PLSCT00000006682	PFAM:PF14649
PLSCT00000006151	PFAM:PF00085,PFAM:PF07749
PLSCT00000000676	PFAM:PF03483,PFAM:PF03484
PLSCT00000004265	PFAM:PF01535,PFAM:PF13812
PLSCT00000003033	PFAM:PF00071,PFAM:PF08355,PFAM:PF08356
PLSCT00000018900	PFAM:PF00782
PLSCT00000003211	PFAM:PF01268
PLSCT00000003783	PFAM:PF00022
PLSCT00000002364	PFAM:PF13837
PLSCT00000001178	PFAM:PF00415
PLSCT00000003769	PFAM:PF00175,PFAM:PF00970
PLSCT00000004260	PFAM:PF00249
PLSCT00000005889	PFAM:PF04124
PLSCT00000005392	PFAM:PF01222
PLSCT00000019371	PFAM:PF11744
PLSCT00000015849	PFAM:PF01119
PLSCT00000003190	PFAM:PF00248
PLSCT00000002546	PFAM:PF15801
PLSCT00000019176	PFAM:PF12931,PFAM:PF12932
PLSCT00000008511	PFAM:PF00069
PLSCT00000012555	PFAM:PF01423
PLSCT00000008197	PFAM:PF01507
PLSCT00000015506	PFAM:PF09751
PLSCT00000003088	PFAM:PF00520
PLSCT00000011205	PFAM:PF00400
PLSCT00000006103	PFAM:PF00076,PFAM:PF16131
PLSCT00000014795	PFAM:PF07910
PLSCT00000006453	PFAM:PF03171,PFAM:PF14226
PLSCT00000017977	PFAM:PF08263
PLSCT00000007396	PFAM:PF01716
PLSCT00000017091	PFAM:PF00406
PLSCT00000005673	PFAM:PF00132
PLSCT00000002327	PFAM:PF16499
PLSCT00000021083	PFAM:PF00108
PLSCT00000001354	PFAM:PF00400
PLSCT00000002078	PFAM:PF09335
PLSCT00000012246	PFAM:PF05183
PLSCT00000004621	PFAM:PF05843
PLSCT00000005610	PFAM:PF00400
PLSCT00000005721	PFAM:PF06886
PLSCT00000016113	PFAM:PF00350
PLSCT00000018824	PFAM:PF00076,PFAM:PF00098
PLSCT00000011283	PFAM:PF06026
PLSCT00000011345	PFAM:PF00856
PLSCT00000001983	PFAM:PF00808
PLSCT00000006662	PFAM:PF01416
PLSCT00000010271	PFAM:PF00176,PFAM:PF00271,PFAM:PF13445
PLSCT00000018713	PFAM:PF00285,PFAM:PF00549
PLSCT00000008256	PFAM:PF01650
PLSCT00000000385	PFAM:PF00067
PLSCT00000020401	PFAM:PF01212
PLSCT00000003064	PFAM:PF02362
PLSCT00000014025	PFAM:PF07690
PLSCT00000016867	PFAM:PF00240,PFAM:PF12157
PLSCT00000011469	PFAM:PF02018
PLSCT00000005575	PFAM:PF00644,PFAM:PF12174
PLSCT00000014625	PFAM:PF04004
PLSCT00000013866	PFAM:PF00069,PFAM:PF00560,PFAM:PF13855
PLSCT00000004019	PFAM:PF14687,PFAM:PF14688
PLSCT00000003845	PFAM:PF02990
PLSCT00000006128	PFAM:PF00034
PLSCT00000007540	PFAM:PF00295
PLSCT00000019287	PFAM:PF07714
PLSCT00000021618	PFAM:PF00249
PLSCT00000006089	PFAM:PF00009,PFAM:PF03143,PFAM:PF03144
PLSCT00000003753	PFAM:PF01490
PLSCT00000010652	PFAM:PF00202
PLSCT00000007433	PFAM:PF09429
PLSCT00000016045	PFAM:PF13593
PLSCT00000002931	PFAM:PF05659
PLSCT00000021339	PFAM:PF05916
PLSCT00000020705	PFAM:PF01900
PLSCT00000013435	PFAM:PF03966
PLSCT00000007995	PFAM:PF00855
PLSCT00000010135	PFAM:PF01494,PFAM:PF13450
PLSCT00000019895	PFAM:PF00318
PLSCT00000004276	PFAM:PF00076
PLSCT00000004547	PFAM:PF05383
PLSCT00000006785	PFAM:PF05003,PFAM:PF11961
PLSCT00000006904	PFAM:PF13355
PLSCT00000008144	PFAM:PF00035,PFAM:PF00636,PFAM:PF02170,PFAM:PF14709
PLSCT00000002144	PFAM:PF07542
PLSCT00000011431	PFAM:PF00232
PLSCT00000010576	PFAM:PF06003
PLSCT00000012886	PFAM:PF00043,PFAM:PF13409
PLSCT00000020989	PFAM:PF01425
PLSCT00000007157	PFAM:PF10225
PLSCT00000006779	PFAM:PF00924
PLSCT00000007508	PFAM:PF07714
PLSCT00000020472	PFAM:PF07985
PLSCT00000018435	PFAM:PF00011
PLSCT00000014081	PFAM:PF00298,PFAM:PF03946
PLSCT00000017946	PFAM:PF00069
PLSCT00000009976	PFAM:PF07173
PLSCT00000020398	PFAM:PF02136
PLSCT00000012693	PFAM:PF01713,PFAM:PF08590
PLSCT00000008206	PFAM:PF05903
PLSCT00000020799	PFAM:PF03133
PLSCT00000011294	PFAM:PF06624
PLSCT00000015829	PFAM:PF00722,PFAM:PF06955
PLSCT00000013047	PFAM:PF00069
PLSCT00000002619	PFAM:PF07064
PLSCT00000003139	PFAM:PF00190
PLSCT00000014435	PFAM:PF03159
PLSCT00000017230	PFAM:PF00892
PLSCT00000003152	PFAM:PF01490
PLSCT00000017873	PFAM:PF13450
PLSCT00000002832	PFAM:PF01842
PLSCT00000015542	PFAM:PF00650,PFAM:PF03765
PLSCT00000012689	PFAM:PF00334
PLSCT00000006409	PFAM:PF13499
PLSCT00000012517	PFAM:PF04782
PLSCT00000013372	PFAM:PF07058
PLSCT00000015971	PFAM:PF03514
PLSCT00000010296	PFAM:PF00171
PLSCT00000004028	PFAM:PF02683
PLSCT00000015150	PFAM:PF01062
PLSCT00000001471	PFAM:PF00076
PLSCT00000002547	PFAM:PF00400
PLSCT00000004346	PFAM:PF00481
PLSCT00000007230	PFAM:PF16656
PLSCT00000000703	PFAM:PF00036
PLSCT00000012989	PFAM:PF02735,PFAM:PF03730,PFAM:PF03731
PLSCT00000006374	PFAM:PF02527
PLSCT00000010479	PFAM:PF00190
PLSCT00000013250	PFAM:PF00831
PLSCT00000020770	PFAM:PF09451
PLSCT00000014699	PFAM:PF00564
PLSCT00000009257	PFAM:PF00891
PLSCT00000002612	PFAM:PF00319
PLSCT00000015338	PFAM:PF00400
PLSCT00000012167	PFAM:PF00176,PFAM:PF07443
PLSCT00000002140	PFAM:PF01055,PFAM:PF13802,PFAM:PF16863
PLSCT00000016508	PFAM:PF13365
PLSCT00000003338	PFAM:PF02466
PLSCT00000010873	PFAM:PF10250
PLSCT00000010723	PFAM:PF02301
PLSCT00000008130	PFAM:PF00153
PLSCT00000013839	PFAM:PF04756
PLSCT00000020995	PFAM:PF03000
PLSCT00000004702	PFAM:PF07714
PLSCT00000014788	PFAM:PF04049,PFAM:PF13176,PFAM:PF13181,PFAM:PF13414,PFAM:PF13432
PLSCT00000001299	PFAM:PF08370
PLSCT00000021313	PFAM:PF02230
PLSCT00000017345	PFAM:PF00334
PLSCT00000005682	PFAM:PF04427
PLSCT00000000430	PFAM:PF00169,PFAM:PF00350,PFAM:PF01031,PFAM:PF02212
PLSCT00000011866	PFAM:PF00400,PFAM:PF08625
PLSCT00000010514	PFAM:PF09739
PLSCT00000020029	PFAM:PF00338
PLSCT00000005892	PFAM:PF06101
PLSCT00000011829	PFAM:PF01920
PLSCT00000017490	PFAM:PF12706
PLSCT00000008689	PFAM:PF09696
PLSCT00000005584	PFAM:PF07728
PLSCT00000001738	PFAM:PF01933
PLSCT00000007763	PFAM:PF00069
PLSCT00000019963	PFAM:PF02535
PLSCT00000016524	PFAM:PF00118
PLSCT00000018339	PFAM:PF00394,PFAM:PF07731,PFAM:PF07732
PLSCT00000006190	PFAM:PF13639
PLSCT00000010054	PFAM:PF02567
PLSCT00000020237	PFAM:PF00004
PLSCT00000010449	PFAM:PF00153
PLSCT00000015811	PFAM:PF02374
PLSCT00000013519	PFAM:PF01263
PLSCT00000012098	PFAM:PF00316
PLSCT00000005868	PFAM:PF02806
PLSCT00000003685	PFAM:PF00481
PLSCT00000000335	PFAM:PF02450
PLSCT00000012511	PFAM:PF00072
PLSCT00000012265	PFAM:PF09353
PLSCT00000006911	PFAM:PF13855
PLSCT00000003420	PFAM:PF00141
PLSCT00000015014	PFAM:PF04832,PFAM:PF10184
PLSCT00000010495	PFAM:PF02705
PLSCT00000010253	PFAM:PF02190,PFAM:PF13923
PLSCT00000001247	PFAM:PF00069,PFAM:PF06217
PLSCT00000009175	PFAM:PF14288
PLSCT00000011108	PFAM:PF00348
PLSCT00000019718	PFAM:PF00152
PLSCT00000020177	PFAM:PF01734
PLSCT00000002846	PFAM:PF12922
PLSCT00000000622	PFAM:PF01885
PLSCT00000010177	PFAM:PF03386
PLSCT00000016027	PFAM:PF07690
PLSCT00000016639	PFAM:PF01274
PLSCT00000012291	PFAM:PF00170
PLSCT00000004692	PFAM:PF00067
PLSCT00000014240	PFAM:PF00651,PFAM:PF03000
PLSCT00000004225	PFAM:PF01061
PLSCT00000000331	PFAM:PF00763,PFAM:PF02882
PLSCT00000010721	PFAM:PF00575
PLSCT00000013441	PFAM:PF13640
PLSCT00000000417	PFAM:PF00385,PFAM:PF01393
PLSCT00000002868	PFAM:PF00501
PLSCT00000013061	PFAM:PF00425
PLSCT00000006544	PFAM:PF00271,PFAM:PF04408,PFAM:PF07717
PLSCT00000003166	PFAM:PF00291,PFAM:PF00585
PLSCT00000014835	PFAM:PF01851,PFAM:PF13646
PLSCT00000009471	PFAM:PF00654
PLSCT00000013910	PFAM:PF00331
PLSCT00000018831	PFAM:PF13673
PLSCT00000016140	PFAM:PF00365
PLSCT00000015190	PFAM:PF00847
PLSCT00000005168	PFAM:PF00860
PLSCT00000013951	PFAM:PF00118
PLSCT00000007121	PFAM:PF14510
PLSCT00000017462	PFAM:PF01088
PLSCT00000003464	PFAM:PF00069
PLSCT00000011025	PFAM:PF00069
PLSCT00000011801	PFAM:PF16417,PFAM:PF16418
PLSCT00000002512	PFAM:PF14604
PLSCT00000009823	PFAM:PF06963
PLSCT00000003551	PFAM:PF00010
PLSCT00000018569	PFAM:PF03171,PFAM:PF14226
PLSCT00000019989	PFAM:PF02567
PLSCT00000010374	PFAM:PF00153
PLSCT00000019896	PFAM:PF00334
PLSCT00000013772	PFAM:PF13086
PLSCT00000010560	PFAM:PF00365
PLSCT00000005996	PFAM:PF00176,PFAM:PF00271,PFAM:PF00385,PFAM:PF00628,PFAM:PF06461,PFAM:PF06465
PLSCT00000011072	PFAM:PF04646
PLSCT00000002901	PFAM:PF05212
PLSCT00000018148	PFAM:PF00428
PLSCT00000010731	PFAM:PF07714
PLSCT00000011373	PFAM:PF00004
PLSCT00000003390	PFAM:PF02121,PFAM:PF04784
PLSCT00000012994	PFAM:PF00498
PLSCT00000004934	PFAM:PF03106
PLSCT00000015591	PFAM:PF01189
PLSCT00000012908	PFAM:PF02298
PLSCT00000003857	PFAM:PF00488,PFAM:PF01713
PLSCT00000007276	PFAM:PF00069
PLSCT00000006930	PFAM:PF03141
PLSCT00000016833	PFAM:PF02922
PLSCT00000011140	PFAM:PF00069,PFAM:PF13426
PLSCT00000008739	PFAM:PF00504
PLSCT00000010294	PFAM:PF04199
PLSCT00000018686	PFAM:PF00595
PLSCT00000018048	PFAM:PF00069,PFAM:PF13499
PLSCT00000021238	PFAM:PF00085
PLSCT00000003773	PFAM:PF13561
PLSCT00000021067	PFAM:PF07714
PLSCT00000015979	PFAM:PF05089,PFAM:PF12971
PLSCT00000013832	PFAM:PF13638
PLSCT00000001213	PFAM:PF01077,PFAM:PF03460
PLSCT00000008731	PFAM:PF03006
PLSCT00000015119	PFAM:PF02466
PLSCT00000016335	PFAM:PF00999
PLSCT00000014430	PFAM:PF00400
PLSCT00000010841	PFAM:PF01428
PLSCT00000009311	PFAM:PF02405
PLSCT00000013954	PFAM:PF00888
PLSCT00000012578	PFAM:PF11623
PLSCT00000007020	PFAM:PF00501,PFAM:PF16177
PLSCT00000012263	PFAM:PF01585,PFAM:PF12171
PLSCT00000004190	PFAM:PF00777
PLSCT00000007397	PFAM:PF00005,PFAM:PF01061
PLSCT00000019884	PFAM:PF15613
PLSCT00000009305	PFAM:PF03763
PLSCT00000017730	PFAM:PF00076
PLSCT00000007137	PFAM:PF00225
PLSCT00000005622	PFAM:PF05699
PLSCT00000009029	PFAM:PF00288,PFAM:PF07959,PFAM:PF08544
PLSCT00000005414	PFAM:PF00291
PLSCT00000018162	PFAM:PF00474
PLSCT00000020117	PFAM:PF13460
PLSCT00000017623	PFAM:PF07819
PLSCT00000006746	PFAM:PF04191
PLSCT00000015271	PFAM:PF03931
PLSCT00000017099	PFAM:PF00494
PLSCT00000014233	PFAM:PF08263,PFAM:PF13855
PLSCT00000011890	PFAM:PF05958
PLSCT00000014369	PFAM:PF12646
PLSCT00000008207	PFAM:PF13419
PLSCT00000000220	PFAM:PF00909
PLSCT00000014105	PFAM:PF04055
PLSCT00000014712	PFAM:PF14631
PLSCT00000010657	PFAM:PF00831
PLSCT00000019451	PFAM:PF00141
PLSCT00000014048	PFAM:PF05057
PLSCT00000020573	PFAM:PF01535,PFAM:PF13041
PLSCT00000005933	PFAM:PF00249
PLSCT00000017697	PFAM:PF03641
PLSCT00000007254	PFAM:PF00071
PLSCT00000009796	PFAM:PF00270,PFAM:PF00271,PFAM:PF08148,PFAM:PF13234
PLSCT00000004581	PFAM:PF00076,PFAM:PF14327,PFAM:PF15861
PLSCT00000003705	PFAM:PF04800
PLSCT00000010535	PFAM:PF02492
PLSCT00000012069	PFAM:PF01504
PLSCT00000011633	PFAM:PF00069
PLSCT00000001636	PFAM:PF17098
PLSCT00000008042	PFAM:PF00248
PLSCT00000004119	PFAM:PF00067
PLSCT00000014983	PFAM:PF01794,PFAM:PF08022,PFAM:PF08030
PLSCT00000009334	PFAM:PF08568
PLSCT00000001590	PFAM:PF01126
PLSCT00000021595	PFAM:PF00622,PFAM:PF10607
PLSCT00000019070	PFAM:PF01967
PLSCT00000020394	PFAM:PF00574
PLSCT00000019825	PFAM:PF03453
PLSCT00000002875	PFAM:PF13640
PLSCT00000020920	PFAM:PF00185,PFAM:PF02729
PLSCT00000014927	PFAM:PF07992
PLSCT00000000871	PFAM:PF04053
PLSCT00000006212	PFAM:PF02362
PLSCT00000006892	PFAM:PF00022
PLSCT00000006771	PFAM:PF02268,PFAM:PF02751
PLSCT00000001430	PFAM:PF00903
PLSCT00000015168	PFAM:PF01544
PLSCT00000018858	PFAM:PF00179
PLSCT00000005786	PFAM:PF00380
PLSCT00000013773	PFAM:PF13086,PFAM:PF13087
PLSCT00000021512	PFAM:PF02305,PFAM:PF04687
PLSCT00000008854	PFAM:PF00076
PLSCT00000007164	PFAM:PF00276
PLSCT00000015494	PFAM:PF05770
PLSCT00000009078	PFAM:PF07817
PLSCT00000015708	PFAM:PF00059,PFAM:PF07714
PLSCT00000016365	PFAM:PF00226
PLSCT00000011167	PFAM:PF00190
PLSCT00000004338	PFAM:PF14580
PLSCT00000010805	PFAM:PF01222
PLSCT00000014973	PFAM:PF00561
PLSCT00000012778	PFAM:PF02519
PLSCT00000005253	PFAM:PF07986
PLSCT00000005877	PFAM:PF00227
PLSCT00000010724	PFAM:PF10250
PLSCT00000004127	PFAM:PF00400,PFAM:PF08513
PLSCT00000012128	PFAM:PF14538
PLSCT00000012114	PFAM:PF00004
PLSCT00000017691	PFAM:PF03619
PLSCT00000001522	PFAM:PF00125,PFAM:PF16211
PLSCT00000013251	PFAM:PF01529
PLSCT00000015296	PFAM:PF07714
PLSCT00000015307	PFAM:PF00856,PFAM:PF09273
PLSCT00000002170	PFAM:PF07714,PFAM:PF08263,PFAM:PF13855
PLSCT00000009972	PFAM:PF13870
PLSCT00000008441	PFAM:PF04227
PLSCT00000017015	PFAM:PF05512
PLSCT00000017605	PFAM:PF00928
PLSCT00000021507	PFAM:PF00069
PLSCT00000017670	PFAM:PF13855
PLSCT00000006596	PFAM:PF00501
PLSCT00000018855	PFAM:PF07250,PFAM:PF09118
PLSCT00000002975	PFAM:PF16953,PFAM:PF17177
PLSCT00000008709	PFAM:PF03126
PLSCT00000008304	PFAM:PF13176,PFAM:PF13181,PFAM:PF13424,PFAM:PF14559
PLSCT00000009114	PFAM:PF02548
PLSCT00000011354	PFAM:PF01699
PLSCT00000018340	PFAM:PF02966
PLSCT00000007808	PFAM:PF03098
PLSCT00000010961	PFAM:PF13881
PLSCT00000019591	PFAM:PF00400
PLSCT00000003377	PFAM:PF16099
PLSCT00000006503	PFAM:PF00134
PLSCT00000009024	PFAM:PF10275
PLSCT00000015208	PFAM:PF01053
PLSCT00000002793	PFAM:PF01119,PFAM:PF16413
PLSCT00000005074	PFAM:PF00179
PLSCT00000020500	PFAM:PF00069,PFAM:PF13499
PLSCT00000019279	PFAM:PF00400
PLSCT00000001599	PFAM:PF00226
PLSCT00000018206	PFAM:PF07856
PLSCT00000008113	PFAM:PF00294
PLSCT00000005526	PFAM:PF00141
PLSCT00000013264	PFAM:PF04054,PFAM:PF12842,PFAM:PF16415,PFAM:PF16417,PFAM:PF16418
PLSCT00000013533	PFAM:PF11152
PLSCT00000005626	PFAM:PF05832
PLSCT00000001052	PFAM:PF01909
PLSCT00000017397	PFAM:PF00153
PLSCT00000007599	PFAM:PF02492
PLSCT00000004462	PFAM:PF00445
PLSCT00000000792	PFAM:PF00295
PLSCT00000016504	PFAM:PF03552
PLSCT00000018643	PFAM:PF00076
PLSCT00000001927	PFAM:PF13499,PFAM:PF13833
PLSCT00000017781	PFAM:PF01565,PFAM:PF02873
PLSCT00000004245	PFAM:PF13460
PLSCT00000001313	PFAM:PF01529
PLSCT00000006036	PFAM:PF00441
PLSCT00000021203	PFAM:PF00583
PLSCT00000019442	PFAM:PF01106
PLSCT00000014204	PFAM:PF00795
PLSCT00000015922	PFAM:PF00759
PLSCT00000002441	PFAM:PF00173,PFAM:PF00487
PLSCT00000007700	PFAM:PF00140,PFAM:PF04539,PFAM:PF04542,PFAM:PF04545
PLSCT00000012041	PFAM:PF07714
PLSCT00000008340	PFAM:PF00575
PLSCT00000004257	PFAM:PF05347
PLSCT00000017344	PFAM:PF00005
PLSCT00000019052	PFAM:PF13086,PFAM:PF13087
PLSCT00000014645	PFAM:PF03810,PFAM:PF08506
PLSCT00000008780	PFAM:PF11571
PLSCT00000000459	PFAM:PF07228
PLSCT00000009014	PFAM:PF08797
PLSCT00000006802	PFAM:PF00565
PLSCT00000007619	PFAM:PF01532
PLSCT00000021330	PFAM:PF01535,PFAM:PF12854,PFAM:PF13041
PLSCT00000020978	PFAM:PF03092
PLSCT00000003919	PFAM:PF13246,PFAM:PF16212
PLSCT00000012902	PFAM:PF11107
PLSCT00000015843	PFAM:PF01138,PFAM:PF03725
PLSCT00000002285	PFAM:PF01096
PLSCT00000004187	PFAM:PF13426
PLSCT00000011928	PFAM:PF03358
PLSCT00000021600	PFAM:PF00004
PLSCT00000000612	PFAM:PF00168,PFAM:PF02893
PLSCT00000001569	PFAM:PF00350,PFAM:PF01031
PLSCT00000013624	PFAM:PF01795
PLSCT00000020539	PFAM:PF12697
PLSCT00000008121	PFAM:PF00232
PLSCT00000016077	PFAM:PF00856,PFAM:PF13771,PFAM:PF13831
PLSCT00000012539	PFAM:PF00160
PLSCT00000007030	PFAM:PF03141
PLSCT00000019930	PFAM:PF00069
PLSCT00000019351	PFAM:PF01985
PLSCT00000005291	PFAM:PF13460
PLSCT00000013959	PFAM:PF03468,PFAM:PF03469,PFAM:PF03470
PLSCT00000003974	PFAM:PF01557
PLSCT00000000715	PFAM:PF10373,PFAM:PF10374
PLSCT00000013448	PFAM:PF00931
PLSCT00000017580	PFAM:PF08637
PLSCT00000007280	PFAM:PF10250
PLSCT00000001463	PFAM:PF06220
PLSCT00000000823	PFAM:PF11957
PLSCT00000018582	PFAM:PF00225
PLSCT00000012656	PFAM:PF00370
PLSCT00000019819	PFAM:PF05291
PLSCT00000021526	PFAM:PF01253
PLSCT00000006001	PFAM:PF13520,PFAM:PF13906
PLSCT00000011765	PFAM:PF00814
PLSCT00000001320	PFAM:PF01852
PLSCT00000019689	PFAM:PF00651,PFAM:PF03000
PLSCT00000007514	PFAM:PF00493,PFAM:PF14551,PFAM:PF17207
PLSCT00000013854	PFAM:PF00856,PFAM:PF02182,PFAM:PF05033
PLSCT00000005416	PFAM:PF10441
